baseline a50g0s30: dist=0.09974882257318463
baseline a60g0s30: dist=0.022206313969497238
baseline a70g0s30: state=[1, 1, 1, 0, 1, 0],  prices=[-1.3, -1.8, 25.0, 1.0]
baseline a80g0s30: state=[1, 1, 1, 0, 0, 0],  prices=[-0.9, -1.7, 25.0, 1.0]
baseline a90g0s30: state=[1, 1, 1, 0, 0, 0],  prices=[-0.9, -1.7, 25.0, 1.0]
baseline a100g0s30: state=[1, 1, 1, 0, 0, 0],  prices=[-0.9, -1.7, 25.0, 1.0]
baseline a20g0s40: state=[2, 1, 1, 0, 1, 0],  prices=[-0.8, -1.2, 25.0, 1.0]
baseline a50g0s40: state=[2, 2, 1, 0, 1, 0],  prices=[-0.6, -0.9, 25.0, 1.0]
baseline a30g0s70: state=[2, 1, 1, 0, 0, 0],  prices=[-1.1, -1.0, 7.4, 1.0]
baseline a60g0s70: state=[2, 3, 1, 0, 1, 0],  prices=[-0.1, -0.6, 25.0, 1.0]
baseline a0g0s80: state=[1, 1, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
baseline a10g0s80: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
baseline a20g0s80: state=[3, 3, 1, 0, 1, 0],  prices=[-0.3, -0.6, 25.0, 1.0]
baseline a0g0s90: state=[1, 1, 1, 0, 0, 0],  prices=[0.1, 0.2, 5.0, 1.0]
baseline a10g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
baseline a20g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.3, 0.3, 5.0, 1.0]
baseline a30g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.4, 0.4, 5.0, 1.0]
baseline a40g0s90: state=[4, 4, 1, 0, 1, 0],  prices=[0.1, -0.3, 25.0, 1.0]
baseline a50g0s90: state=[3, 3, 1, 0, 1, 0],  prices=[0.1, -0.3, 25.0, 1.0]
baseline a60g0s90: iter=841
baseline a70g0s90: iter=625
baseline a80g0s90: state=[3, 3, 1, 0, 1, 0],  prices=[0.4, -0.0, 25.0, 1.0]
baseline a0g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[0.1, 0.2, 5.0, 1.0]
baseline a10g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
baseline a20g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.3, 0.3, 5.0, 1.0]
baseline a30g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.4, 0.3, 5.0, 1.0]
baseline a40g0s100: state=[2, 1, 1, 0, 0, 0],  prices=[-1.2, -1.2, 8.0, 1.0]
baseline a50g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.6, 0.5, 5.0, 1.0]
baseline a60g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.7, 0.6, 5.0, 1.0]
baseline a70g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
baseline a80g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[-0.5, -1.0, 25.0, 1.0]
baseline a90g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
baseline a100g0s100: state=[2, 2, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
nolearning a0g0s80: state=[1, 1, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nolearning a10g0s80: state=[1, 1, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nolearning a0g0s90: state=[1, 1, 1, 0, 0, 0],  prices=[0.1, 0.2, 5.0, 1.0]
nolearning a10g0s90: state=[1, 1, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nolearning a20g0s90: state=[1, 1, 1, 0, 0, 0],  prices=[0.3, 0.3, 5.0, 1.0]
nolearning a30g0s90: state=[1, 1, 1, 0, 0, 0],  prices=[0.4, 0.4, 5.0, 1.0]
nolearning a40g0s90: state=[1, 1, 1, 0, 0, 0],  prices=[0.5, 0.4, 5.0, 1.0]
nolearning a0g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[0.1, 0.2, 5.0, 1.0]
nolearning a10g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nolearning a20g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[0.3, 0.3, 5.0, 1.0]
nolearning a30g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[0.4, 0.3, 5.0, 1.0]
nolearning a40g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[0.5, 0.4, 5.0, 1.0]
nolearning a50g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[0.6, 0.5, 5.0, 1.0]
nolearning a60g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[0.7, 0.6, 5.0, 1.0]
nolearning a70g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
