alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly
0.1,1.0,20,0.3972,0.0,1.316,0.0,0.0,1.456,1.576,3.033,0.0
0.1,1.0,21,0.2466,0.08984,1.285,0.0,1.0,1.28,1.683,2.963,0.0
0.1,1.0,30,0.4702,0.0,0.6733,0.0,0.0,1.5,1.67,3.17,0.0
0.1,1.0,31,0.0565,0.321,0.599,0.0,1.0,1.338,1.773,3.111,0.0
0.1,1.0,40,0.4702,0.0,0.0,0.0,0.0,1.549,1.753,3.303,0.0
0.1,1.0,41,0.0922,0.3428,0.0,0.0,1.0,1.37,1.868,3.238,0.0
0.1,1.0,43,0.4033,0.0,0.0,0.0,1.0,1.137,2.154,3.291,0.0
0.1,2.0,20,0.2642,0.4019,1.0625,0.0,0.05267,1.094,1.268,2.361,0.0
0.1,2.0,21,0.2252,0.2368,0.885,0.0,1.0,1.025,1.322,2.348,0.0
0.1,2.0,30,0.1998,0.2979,0.5527,0.0,0.04868,1.1045,1.379,2.482,0.0
0.1,2.0,31,-0.1969,0.6978,0.4211,0.0,1.0,1.017,1.455,2.47,0.0
0.1,2.0,40,0.2087,0.2876,0.0,0.0,0.0,1.137,1.464,2.6,0.0
0.1,2.0,41,-0.1381,0.7046,0.0,0.0,1.0,1.003,1.579,2.582,0.0
0.1,2.0,43,0.2139,0.2323,0.0,0.0,1.0,0.7944,1.897,2.691,0.0
0.1,3.0,20,0.267,0.3445,0.9023,0.0,0.1918,0.971,1.228,2.2,0.0
0.1,3.0,21,0.4094,0.1126,0.648,0.0,1.0,0.9614,1.225,2.186,0.0
0.1,3.0,30,0.04822,0.2866,0.4844,0.0,0.1885,0.9297,1.384,2.312,0.0
0.1,3.0,31,-0.324,0.6875,0.3345,0.0,1.0,0.8613,1.436,2.297,0.0
0.1,3.0,40,0.08295,0.2474,0.0,0.0,0.0,0.9517,1.476,2.428,0.0
0.1,3.0,41,-0.2357,0.6685,0.0,0.0,1.0,0.8,1.602,2.402,0.0
0.1,3.0,43,0.0833,0.2225,0.0,0.0,1.0,0.5376,1.941,2.479,0.0
0.1,4.0,20,0.31,0.362,0.7417,0.0,0.298,0.9155,1.202,2.117,0.0
0.1,4.0,21,0.5186,0.08154,0.4666,0.0,1.0,0.965,1.144,2.11,0.0
0.1,4.0,30,-0.0596,0.594,0.4268,0.0,0.2466,0.8003,1.432,2.232,0.0
0.1,4.0,31,-0.419,0.776,0.2742,0.0,1.0,0.7476,1.463,2.21,0.0
0.1,4.0,40,-0.015076,0.5654,0.0,0.0,0.0,0.7925,1.553,2.346,0.0
0.1,4.0,41,-0.2866,0.6606,0.0,0.0,1.0,0.6333,1.679,2.312,0.0
0.1,4.0,43,0.00456,0.4314,0.0,0.0,1.0,0.3782,1.987,2.365,0.0
0.1,5.0,20,0.3406,0.3528,0.5923,9.5e-7,0.386,0.925,1.142,2.066,0.0
0.1,5.0,21,0.501,0.0853,0.3286,5.0e-7,1.0,1.024,1.04,2.064,0.0
0.1,5.0,30,-0.1543,0.69,0.3716,3.046e-5,0.2964,0.702,1.476,2.178,0.0
0.1,5.0,31,-2.1,0.888,0.2238,8.756e-5,1.0,0.6743,1.481,2.156,0.0
0.1,5.0,40,-0.09283,0.656,0.0,0.0,0.0,0.652,1.638,2.29,0.0
0.1,5.0,41,-0.51,0.6567,0.001403,0.00872,1.0,0.489,1.761,2.25,0.0
0.1,5.0,43,-0.7456,0.8447,0.076,0.687,1.0,0.2131,1.981,2.195,0.0
0.1,6.0,20,0.4114,0.2484,0.3164,0.01576,0.482,1.357,0.5947,1.952,0.833
0.1,6.0,21,0.625,0.012146,0.0802,0.013596,1.0,1.473,0.5083,1.981,0.8335
0.1,6.0,30,-3.34,0.638,0.213,0.8906,0.5586,0.5728,1.419,1.992,0.7773
0.1,6.0,31,-5.035,0.648,0.0739,0.745,0.998,0.9297,1.082,2.012,0.794
0.1,6.0,40,-3.936,0.6895,0.00852,1.043,0.74,0.334,1.712,2.047,0.7803
0.1,6.0,41,-6.12,0.7725,0.01674,1.171,0.9937,0.317,1.708,2.025,0.792
0.1,6.0,43,-3.012,0.773,0.01703,1.436,1.0,0.0533,1.981,2.035,0.803
0.1,7.0,20,0.4358,0.2477,0.3054,0.01695,0.4788,1.4375,0.526,1.963,0.916
0.1,7.0,21,0.6567,0.01034,0.0584,0.01244,1.0,1.549,0.4421,1.991,0.916
0.1,7.0,30,-3.58,0.638,0.193,0.9277,0.5547,0.584,1.409,1.993,0.88
0.1,7.0,31,-4.973,0.643,0.05414,0.7554,0.9985,1.04,0.976,2.016,0.8857
0.1,7.0,40,-4.598,0.729,0.007698,1.137,0.7944,0.3293,1.709,2.04,0.8843
0.1,7.0,41,-6.3,0.7876,0.01466,1.291,0.995,0.3262,1.697,2.023,0.889
0.1,7.0,43,-3.29,0.7856,0.01496,1.6,1.0,0.03885,1.994,2.033,0.893
0.1,8.0,20,0.4824,0.2335,0.295,0.01717,0.4736,1.494,0.4792,1.973,0.9507
0.1,8.0,21,0.694,0.000761,0.04483,0.01067,1.0,1.604,0.397,2.0,0.9507
0.1,8.0,30,-3.852,0.6455,0.1796,0.921,0.585,0.6025,1.396,1.999,0.915
0.1,8.0,31,-3.078,0.637,0.04135,0.758,1.0,1.404,0.6167,2.021,0.937
0.1,8.0,40,-4.582,0.6313,0.007103,1.197,0.834,0.3367,1.701,2.04,0.931
0.1,8.0,41,-5.43,0.634,0.01261,1.356,0.996,0.3396,1.686,2.025,0.9355
0.1,8.0,43,-3.232,0.6274,0.012825,1.695,1.0,0.03033,2.004,2.035,0.9375
0.1,9.0,20,0.4902,0.2471,0.2275,0.01743,0.468,1.539,0.4417,1.98,0.9688
0.1,9.0,21,0.6987,0.007126,0.03604,0.00914,1.0,1.6455,0.3623,2.008,0.969
0.1,9.0,30,-3.479,0.6006,0.1458,0.5107,0.716,0.8906,1.1045,1.994,0.953
0.1,9.0,31,-2.39,0.6377,0.03226,0.7607,1.0,1.623,0.3943,2.018,0.9688
0.1,9.0,40,-5.23,0.7344,0.01064,1.082,0.9033,0.478,1.549,2.027,0.961
0.1,9.0,41,-4.527,0.832,0.01099,1.401,0.999,0.9067,1.117,2.023,0.9673
0.1,9.0,43,-3.863,0.828,0.01105,1.757,1.0,0.02502,2.008,2.033,0.9634
0.2,1.0,20,0.3887,0.0,1.334,0.0,0.0,1.492,1.649,3.143,0.0
0.2,1.0,21,0.2766,0.118,1.287,0.0,1.0,1.316,1.758,3.074,0.0
0.2,1.0,30,0.442,0.0,0.6733,0.0,0.0,1.534,1.748,3.281,0.0
0.2,1.0,31,-0.013466,0.4275,0.5894,0.0,1.0,1.37,1.854,3.225,0.0
0.2,1.0,40,0.442,0.0,0.0,0.0,0.0,1.583,1.831,3.414,0.0
0.2,1.0,41,0.03134,0.3325,0.0,0.0,1.0,1.4,1.95,3.352,0.0
0.2,1.0,43,0.3792,0.0,0.0,0.0,1.0,1.165,2.258,3.424,0.0
0.2,2.0,20,0.2659,0.3818,1.075,0.0,0.0776,1.127,1.364,2.492,0.0
0.2,2.0,21,0.5522,0.1558,0.874,0.0,1.0,1.062,1.413,2.475,0.0
0.2,2.0,30,0.1351,0.2896,0.551,0.0,0.0745,1.125,1.491,2.615,0.0
0.2,2.0,31,-0.31,0.691,0.4092,0.0,1.0,1.032,1.568,2.602,0.0
0.2,2.0,40,0.1508,0.274,0.0,0.0,0.0,1.161,1.573,2.734,0.0
0.2,2.0,41,-0.2343,0.6934,0.0,0.0,1.0,1.017,1.695,2.71,0.0
0.2,2.0,43,0.162,0.2295,0.0,0.0,1.0,0.78,2.047,2.826,0.0
0.2,3.0,20,0.2593,0.376,0.8877,0.0,0.2292,0.9976,1.329,2.326,0.0
0.2,3.0,21,0.345,0.1765,0.616,0.0,1.0,1.002,1.311,2.312,0.0
0.2,3.0,30,-0.04788,0.5146,0.483,0.0,0.1962,0.926,1.522,2.45,0.0
0.2,3.0,31,-0.47,0.859,0.3257,0.0,1.0,0.8506,1.577,2.428,0.0
0.2,3.0,40,-0.00588,0.4631,0.0,0.0,0.0,0.951,1.612,2.564,0.0
0.2,3.0,41,-0.3489,0.7544,0.0,0.0,1.0,0.787,1.746,2.533,0.0
0.2,3.0,43,0.02228,0.4326,0.0,0.0,1.0,0.504,2.105,2.61,0.0
0.2,4.0,20,0.3174,0.37,0.6997,0.0,0.3496,0.96,1.281,2.242,0.0
0.2,4.0,21,0.489,0.10333,0.4185,0.0,1.0,1.033,1.201,2.234,0.0
0.2,4.0,30,-0.1915,0.689,0.4253,0.0,0.254,0.776,1.588,2.363,0.0
0.2,4.0,31,-2.062,0.9746,0.2646,0.0,1.0,0.7227,1.615,2.338,0.0
0.2,4.0,40,-0.1242,0.6245,0.0,0.0,0.0,0.771,1.708,2.479,0.0
0.2,4.0,41,-2.09,0.8677,0.0,0.0,1.0,0.599,1.837,2.436,0.0
0.2,4.0,43,-0.0568,0.611,0.0,0.0,1.0,0.342,2.154,2.496,0.0
0.2,5.0,20,0.4749,0.2468,0.3384,0.014046,0.4893,1.384,0.702,2.086,0.692
0.2,5.0,21,0.71,0.00789,0.10034,0.012474,1.0,1.505,0.6104,2.115,0.6934
0.2,5.0,30,-3.53,0.643,0.2368,0.842,0.5674,0.5713,1.567,2.139,0.6274
0.2,5.0,31,-5.848,0.6553,0.09174,0.731,0.9976,0.901,1.254,2.154,0.6514
0.2,5.0,40,-3.367,0.6567,0.008995,0.9263,0.663,0.3494,1.858,2.207,0.616
0.2,5.0,41,-5.723,0.7114,0.01758,1.037,0.9897,0.2766,1.901,2.178,0.6357
0.2,5.0,43,-1.842,0.687,0.01764,1.257,1.0,0.0705,2.115,2.186,0.661
0.2,6.0,20,0.4407,0.2505,0.3252,0.01665,0.4897,1.504,0.593,2.096,0.885
0.2,6.0,21,0.652,0.01605,0.069,0.013275,1.0,1.62,0.5063,2.127,0.8853
0.2,6.0,30,-4.22,0.641,0.2062,0.9097,0.5684,0.578,1.554,2.13,0.8477
0.2,6.0,31,-6.457,0.6475,0.0638,0.7524,0.9985,1.065,1.091,2.156,0.8535
0.2,6.0,40,-4.992,0.749,0.00814,1.091,0.7744,0.3394,1.844,2.184,0.85
0.2,6.0,41,-7.645,0.8555,0.01576,1.235,0.994,0.3308,1.835,2.166,0.8555
0.2,6.0,43,-3.76,0.852,0.01614,1.512,1.0,0.04678,2.129,2.176,0.861
0.2,7.0,20,0.503,0.233,0.3154,0.01741,0.4849,1.578,0.5303,2.11,0.9395
0.2,7.0,21,0.709,0.0006833,0.05066,0.01154,1.0,1.692,0.4456,2.139,0.9395
0.2,7.0,30,-4.27,0.636,0.1885,0.9355,0.572,0.5947,1.543,2.137,0.919
0.2,7.0,31,-5.0,0.6367,0.0466,0.7583,0.999,1.233,0.928,2.162,0.9233
0.2,7.0,40,-5.312,0.634,0.007507,1.171,0.8237,0.3428,1.839,2.182,0.918
0.2,7.0,41,-7.016,0.636,0.01359,1.33,0.9956,0.3428,1.825,2.168,0.922
0.2,7.0,43,-3.314,0.6284,0.01384,1.6455,1.0,0.03485,2.143,2.178,0.924
0.2,8.0,20,0.5156,0.2375,0.3086,0.01747,0.4783,1.633,0.4863,2.12,0.96
