alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.1,1.0,20,0.4348,0.0,1.342,0.0,0.0,1.49,1.566,3.057,0.0,0.0,0.0
0.1,1.0,21,0.4075,0.0,1.237,0.735,1.0,1.179,1.645,2.822,0.0,0.0,0.0
0.1,1.0,30,0.5654,0.0,0.6733,0.0,0.0,1.537,1.642,3.178,0.0,0.0,0.0
0.1,1.0,31,0.514,0.0,0.624,1.622,1.0,1.205,1.725,2.93,0.0,0.0,0.0
0.1,1.0,40,0.5654,0.0,0.0,0.0,0.0,1.586,1.725,3.31,0.0,0.0,0.0
0.1,1.0,41,0.4636,0.0,0.0,2.5,1.0,1.249,1.8125,3.062,0.0,0.0,0.0
0.1,1.0,43,0.485,0.0,0.0,0.0,1.0,1.186,2.12,3.305,0.0,0.0,0.0
0.1,2.0,20,0.318,0.0,1.111,0.0,0.0,1.138,1.258,2.396,0.0,0.0,0.0
0.1,2.0,21,0.4268,0.0,0.864,0.4783,1.0,0.9785,1.3125,2.291,0.0,0.0,0.0
0.1,2.0,30,0.3813,0.0,0.5557,0.0,0.0,1.161,1.335,2.496,0.0,0.0,0.0
0.1,2.0,31,0.4307,0.0,0.4463,1.499,1.0,0.9497,1.426,2.375,0.0,0.0,0.0
0.1,2.0,40,0.3813,0.0,0.0,0.0,0.0,1.1875,1.425,2.611,0.0,0.0,0.0
0.1,2.0,41,0.3396,0.0,0.0,2.5,1.0,0.947,1.541,2.488,0.0,0.0,0.0
0.1,2.0,43,0.3633,0.0,0.0,0.0,1.0,0.8706,1.848,2.719,0.0,0.0,0.0
0.1,3.0,20,0.3252,0.346,0.974,0.02321,0.116,1.011,1.224,2.234,0.0,0.0,0.0
0.1,3.0,21,0.4846,0.0,0.6533,0.3496,1.0,0.9355,1.228,2.164,0.0,0.0,0.0
0.1,3.0,30,0.3289,0.2932,0.4983,0.0,0.0,1.019,1.319,2.338,0.0,0.0,0.0
0.1,3.0,31,0.422,0.0,0.3599,1.446,1.0,0.834,1.407,2.242,0.0,0.0,0.0
0.1,3.0,40,0.3289,0.2932,0.0,0.0,0.0,1.018,1.428,2.445,0.0,0.0,0.0
0.1,3.0,41,0.2888,0.0,0.0,2.5,1.0,0.782,1.564,2.346,0.0,0.0,0.0
0.1,3.0,43,0.2654,0.2256,0.0,0.0,1.0,0.6284,1.886,2.514,0.0,0.0,0.0
0.1,4.0,20,0.3555,0.3052,0.834,0.03558,0.2273,0.9385,1.217,2.154,0.0,0.0,0.0
0.1,4.0,21,0.537,6.31e-5,0.4983,0.2607,1.0,0.9414,1.164,2.105,0.0,0.0,0.0
0.1,4.0,30,0.2883,0.2585,0.445,0.012985,0.01281,0.903,1.364,2.268,0.0,0.0,0.0
0.1,4.0,31,0.421,0.00198,0.3003,1.411,1.0,0.749,1.43,2.18,0.0,0.0,0.0
0.1,4.0,40,0.2905,0.262,0.0,0.0,0.0,0.871,1.498,2.37,0.0,0.0,0.0
0.1,4.0,41,0.2439,0.259,0.0,2.5,1.0,0.6436,1.637,2.281,0.0,0.0,0.0
0.1,4.0,43,0.1975,0.2218,0.0,0.0,1.0,0.4744,1.931,2.404,0.0,0.0,0.0
0.1,5.0,20,0.3904,0.2822,0.689,0.04413,0.3374,0.913,1.187,2.1,0.0,0.0,0.0
0.1,5.0,21,0.5815,0.001423,0.3833,0.1974,1.0,0.9844,1.089,2.072,0.0,0.0,0.0
0.1,5.0,30,0.2477,0.2378,0.389,0.05798,0.0914,0.7905,1.418,2.209,0.0,0.0,0.0
0.1,5.0,31,0.4246,0.001159,0.254,1.385,1.0,0.6943,1.447,2.14,0.0,0.0,0.0
0.1,5.0,40,0.2527,0.2422,0.0,0.0,0.0,0.7397,1.579,2.318,0.0,0.0,0.0
0.1,5.0,41,0.2058,0.248,0.0,2.5,1.0,0.5337,1.706,2.24,0.0,0.0,0.0
0.1,5.0,43,0.154,0.2212,0.0,0.0,1.0,0.3777,1.961,2.338,0.0,0.0,0.0
0.1,6.0,20,0.4246,0.268,0.571,0.04434,0.4104,0.937,1.129,2.066,0.0,0.0,0.0
0.1,6.0,21,0.618,0.0008416,0.3,0.153,1.0,1.049,1.006,2.055,0.0,0.0,0.0
0.1,6.0,30,0.2161,0.2286,0.3384,0.1003,0.1627,0.7144,1.452,2.166,0.0,0.0,0.0
0.1,6.0,31,0.4316,0.0007463,0.2178,1.364,1.0,0.6646,1.453,2.117,0.0,0.0,0.0
0.1,6.0,40,0.2178,0.231,0.0,0.0,0.0,0.6313,1.649,2.281,0.0,0.0,0.0
0.1,6.0,41,0.1754,0.2401,0.0,2.5,1.0,0.45,1.762,2.21,0.0,0.0,0.0
0.1,6.0,43,0.12494,0.2211,0.0,0.0,1.0,0.3132,1.98,2.293,0.0,0.0,0.0
0.1,7.0,20,0.4568,0.2583,0.4568,0.05435,0.5137,1.023,1.017,2.04,0.0,0.0,0.0
0.1,7.0,21,0.65,0.000527,0.2272,0.1183,1.0,1.167,0.8735,2.041,0.0,0.0,0.0
0.1,7.0,30,0.1853,0.2236,0.2842,0.3003,0.42,0.6743,1.452,2.127,0.0,0.0,0.0
0.1,7.0,31,0.4438,0.0005054,0.1908,1.409,1.0,0.719,1.378,2.098,0.0,0.0,0.0
0.1,7.0,40,0.1881,0.2253,0.0,0.0,0.0,0.5454,1.706,2.252,0.0,0.0,0.0
0.1,7.0,41,0.1515,0.2344,0.0,2.5,1.0,0.387,1.805,2.191,0.0,0.0,0.0
0.1,7.0,43,0.10443,0.2211,0.0,0.0,1.0,0.267,1.995,2.262,0.0,0.0,0.0
0.1,8.0,20,0.4832,0.2517,0.4043,0.0795,0.6177,1.192,0.8257,2.018,1.4e-5,1.72e-5,1.675e-5
0.1,8.0,21,0.677,0.0003357,0.1837,0.101,1.0,1.341,0.6865,2.027,1.59e-5,1.955e-5,1.9e-5
0.1,8.0,30,0.2035,0.2279,0.2338,0.6035,0.748,0.8413,1.234,2.076,9.4e-6,1.156e-5,1.127e-5
0.1,8.0,31,0.4812,0.0003567,0.1683,1.477,1.0,0.9517,1.115,2.066,1.1e-5,1.36e-5,1.32e-5
0.1,8.0,40,0.1637,0.2228,0.0,0.0,0.0,0.4783,1.751,2.23,0.0,0.0,0.0
0.1,8.0,41,0.1326,0.2302,0.0,2.5,1.0,0.3384,1.839,2.178,0.0,0.0,0.0
0.1,8.0,43,0.08923,0.2211,0.0,0.0,1.0,0.2325,2.006,2.238,0.0,0.0,0.0
