alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.1,1.0,20,0.3972,0.0,1.316,0.0,0.0,1.456,1.576,3.033,0.0,0.0,0.0
0.1,1.0,21,0.3743,0.0,1.197,0.7026,1.0,1.142,1.647,2.79,0.0,0.0,0.0
0.1,1.0,30,0.4702,0.0,0.6733,0.0,0.0,1.5,1.67,3.17,0.0,0.0,0.0
0.1,1.0,31,0.4243,0.0,0.6216,1.62,1.0,1.162,1.754,2.916,0.0,0.0,0.0
0.1,1.0,40,0.4702,0.0,0.0,0.0,0.0,1.549,1.753,3.303,0.0,0.0,0.0
0.1,1.0,41,0.3818,0.0,0.0,2.5,1.0,1.207,1.843,3.049,0.0,0.0,0.0
0.1,1.0,43,0.4033,0.0,0.0,0.0,1.0,1.137,2.154,3.291,0.0,0.0,0.0
0.1,2.0,20,0.2683,0.3982,1.067,0.0,0.0,1.1,1.264,2.363,0.0,0.0,0.0
0.1,2.0,21,0.3992,0.0006194,0.786,0.4287,1.0,0.9487,1.3,2.248,0.0,0.0,0.0
0.1,2.0,30,0.2087,0.2876,0.5557,0.0,0.0,1.11,1.374,2.484,0.0,0.0,0.0
0.1,2.0,31,0.2761,0.004128,0.4421,1.497,1.0,0.8877,1.466,2.354,0.0,0.0,0.0
0.1,2.0,40,0.2087,0.2876,0.0,0.0,0.0,1.137,1.464,2.6,0.0,0.0,0.0
0.1,2.0,41,0.1937,0.2678,0.0,2.5,1.0,0.886,1.583,2.469,0.0,0.0,0.0
0.1,2.0,43,0.2139,0.2323,0.0,0.0,1.0,0.7944,1.897,2.691,0.0,0.0,0.0
0.1,3.0,20,0.2646,0.3386,0.9336,0.0,0.0,0.985,1.223,2.207,0.0,0.0,0.0
0.1,3.0,21,0.47,0.003035,0.5503,0.2893,1.0,0.931,1.188,2.12,0.0,0.0,0.0
0.1,3.0,30,0.08295,0.2474,0.4983,0.0,0.0,0.9526,1.367,2.32,0.0,0.0,0.0
0.1,3.0,31,0.2426,0.2308,0.3503,1.44,1.0,0.7637,1.454,2.219,0.0,0.0,0.0
0.1,3.0,40,0.08295,0.2474,0.0,0.0,0.0,0.9517,1.476,2.428,0.0,0.0,0.0
0.1,3.0,41,0.10205,0.2413,0.0,2.5,1.0,0.706,1.615,2.322,0.0,0.0,0.0
0.1,3.0,43,0.0833,0.2225,0.0,0.0,1.0,0.5376,1.941,2.479,0.0,0.0,0.0
0.1,4.0,20,0.2922,0.3672,0.8066,0.0,0.0,0.916,1.22,2.137,0.0,0.0,0.0
0.1,4.0,21,0.5356,0.001297,0.3792,0.195,1.0,0.9795,1.085,2.064,0.0,0.0,0.0
0.1,4.0,30,-0.015076,0.5654,0.4463,0.0,0.0,0.8267,1.417,2.244,0.0,0.0,0.0
0.1,4.0,31,0.2637,0.2261,0.2776,1.397,1.0,0.693,1.468,2.16,0.0,0.0,0.0
0.1,4.0,40,-0.015076,0.5654,0.0,0.0,0.0,0.7925,1.553,2.346,0.0,0.0,0.0
0.1,4.0,41,0.04407,0.3054,0.0,2.5,1.0,0.5557,1.694,2.25,0.0,0.0,0.0
0.1,4.0,43,0.00456,0.4314,0.0,0.0,1.0,0.3782,1.987,2.365,0.0,0.0,0.0
0.1,5.0,20,-0.002947,0.002384,0.4663,0.0201,0.0215,0.5234,0.755,1.278,0.3992,0.648,0.4036
0.1,5.0,21,0.604,0.002028,0.1159,0.06305,1.0,1.338,0.6367,1.975,0.4626,0.751,0.4678
0.1,5.0,30,-0.05133,0.0466,0.3184,0.4631,0.2035,0.5645,0.85,1.415,0.398,0.646,0.4026
0.1,5.0,31,0.11316,0.508,0.10516,1.572,1.0,1.026,0.9873,2.014,0.4268,0.693,0.4316
0.1,5.0,40,-0.4072,0.4446,0.01436,1.91,0.998,0.59,1.394,1.983,0.3953,0.6416,0.4
0.1,5.0,41,-0.6763,0.6084,0.01566,2.855,1.0,0.4438,1.616,2.06,0.3735,0.6064,0.378
0.1,5.0,43,-2.252,0.427,0.0693,1.254,1.0,0.03043,1.9795,2.01,0.456,0.74,0.4612
0.1,6.0,20,-0.0015745,0.01034,0.8296,0.05624,0.1121,0.885,0.6187,1.504,0.86,0.9814,0.8657
0.1,6.0,21,0.642,0.0003679,0.0844,0.04868,1.0,1.478,0.503,1.981,0.866,0.989,0.8726
0.1,6.0,30,0.00858,0.06042,0.5044,0.434,0.4277,1.022,0.626,1.648,0.86,0.9814,0.8657
0.1,6.0,31,0.607,0.00547,0.07306,1.5625,1.0,1.451,0.5425,1.993,0.8647,0.9873,0.8706
0.1,6.0,40,0.1881,0.2028,0.0181,2.111,1.0,1.1875,0.775,1.962,0.86,0.9814,0.8657
0.1,6.0,41,0.2213,0.2397,0.01807,2.951,1.0,1.183,0.8306,2.014,0.857,0.978,0.863
0.1,6.0,43,-2.545,0.419,0.05106,1.301,1.0,0.0204,1.989,2.01,0.859,0.98,0.8647
0.1,7.0,20,-0.002802,0.01126,0.8765,0.0659,0.1274,0.947,0.5796,1.526,0.9194,0.983,0.927
0.1,7.0,21,0.6694,0.0002065,0.0664,0.03897,1.0,1.551,0.4407,1.991,0.925,0.9893,0.932
0.1,7.0,30,0.004704,0.0596,0.5254,0.4626,0.4468,1.093,0.5737,1.666,0.9194,0.983,0.927
