alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.1,1.0,20,0.701,0.0,1.375,0.0,0.0,1.566,1.601,3.168,0.0,0.0,0.0
0.1,1.0,21,0.5664,0.0,1.266,0.7544,1.0,1.25,1.673,2.924,0.0,0.0,0.0
0.1,1.0,30,0.8604,0.0,0.6733,0.0,0.0,1.613,1.687,3.3,0.0,0.0,0.0
0.1,1.0,31,0.717,0.0,0.6216,1.62,1.0,1.275,1.77,3.045,0.0,0.0,0.0
0.1,1.0,40,0.8604,0.0,0.0,0.0,0.0,1.662,1.77,3.432,0.0,0.0,0.0
0.1,1.0,41,0.677,0.0,0.0,2.5,1.0,1.32,1.858,3.178,0.0,0.0,0.0
0.1,1.0,43,0.6274,0.0,0.0,0.0,1.0,1.255,2.168,3.422,0.0,0.0,0.0
0.1,2.0,20,0.5977,0.0,1.146,0.0,0.0,1.209,1.289,2.498,0.0,0.0,0.0
0.1,2.0,21,0.5728,0.0,0.89,0.4934,1.0,1.041,1.338,2.379,0.0,0.0,0.0
0.1,2.0,30,0.6553,0.0,0.5557,0.0,0.0,1.229,1.386,2.615,0.0,0.0,0.0
0.1,2.0,31,0.5737,0.0,0.4458,1.499,1.0,0.9976,1.481,2.479,0.0,0.0,0.0
0.1,2.0,40,0.6553,0.0,0.0,0.0,0.0,1.254,1.476,2.73,0.0,0.0,0.0
0.1,2.0,41,0.5166,0.0,0.0,2.5,1.0,1.005,1.594,2.598,0.0,0.0,0.0
0.1,2.0,43,0.4578,0.0,0.0,0.0,1.0,0.9155,1.906,2.822,0.0,0.0,0.0
0.1,3.0,20,0.6006,0.0,1.007,0.02267,0.10785,1.075,1.254,2.328,0.0,0.0,0.0
0.1,3.0,21,0.624,0.0,0.676,0.3616,1.0,0.9907,1.255,2.246,0.0,0.0,0.0
0.1,3.0,30,0.5557,0.0,0.4983,0.0,0.0,1.072,1.378,2.45,0.0,0.0,0.0
0.1,3.0,31,0.5015,0.0,0.3613,1.447,1.0,0.859,1.477,2.336,0.0,0.0,0.0
0.1,3.0,40,0.5557,0.0,0.0,0.0,0.0,1.071,1.485,2.557,0.0,0.0,0.0
