alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.1,1.0,20,0.3972,0.0,1.316,0.0,0.0,1.456,1.576,3.033,0.0,0.0,0.0
0.1,1.0,21,0.3743,0.0,1.197,0.7026,1.0,1.142,1.647,2.79,0.0,0.0,0.0
0.1,1.0,30,0.4702,0.0,0.6733,0.0,0.0,1.5,1.67,3.17,0.0,0.0,0.0
0.1,1.0,31,0.4243,0.0,0.6216,1.62,1.0,1.162,1.754,2.916,0.0,0.0,0.0
0.1,1.0,40,0.4702,0.0,0.0,0.0,0.0,1.549,1.753,3.303,0.0,0.0,0.0
0.1,1.0,41,0.3818,0.0,0.0,2.5,1.0,1.207,1.843,3.049,0.0,0.0,0.0
0.1,1.0,43,0.4033,0.0,0.0,0.0,1.0,1.137,2.154,3.291,0.0,0.0,0.0
0.1,2.0,20,0.2683,0.3982,1.067,0.0,0.0,1.1,1.264,2.363,0.0,0.0,0.0
0.1,2.0,21,0.3992,0.0006194,0.786,0.4287,1.0,0.9487,1.3,2.248,0.0,0.0,0.0
0.1,2.0,30,0.2087,0.2876,0.5557,0.0,0.0,1.11,1.374,2.484,0.0,0.0,0.0
0.1,2.0,31,0.2761,0.004128,0.4421,1.497,1.0,0.8877,1.466,2.354,0.0,0.0,0.0
0.1,2.0,40,0.2087,0.2876,0.0,0.0,0.0,1.137,1.464,2.6,0.0,0.0,0.0
0.1,2.0,41,0.1937,0.2678,0.0,2.5,1.0,0.886,1.583,2.469,0.0,0.0,0.0
0.1,2.0,43,0.2139,0.2323,0.0,0.0,1.0,0.7944,1.897,2.691,0.0,0.0,0.0
0.1,3.0,20,0.2646,0.3386,0.9336,0.0,0.0,0.985,1.223,2.207,0.0,0.0,0.0
0.1,3.0,21,0.47,0.003035,0.5503,0.2893,1.0,0.931,1.188,2.12,0.0,0.0,0.0
0.1,3.0,30,0.08295,0.2474,0.4983,0.0,0.0,0.9526,1.367,2.32,0.0,0.0,0.0
0.1,3.0,31,0.2426,0.2308,0.3503,1.44,1.0,0.7637,1.454,2.219,0.0,0.0,0.0
0.1,3.0,40,0.08295,0.2474,0.0,0.0,0.0,0.9517,1.476,2.428,0.0,0.0,0.0
0.1,3.0,41,0.10205,0.2413,0.0,2.5,1.0,0.706,1.615,2.322,0.0,0.0,0.0
0.1,3.0,43,0.0833,0.2225,0.0,0.0,1.0,0.5376,1.941,2.479,0.0,0.0,0.0
0.1,4.0,20,0.2922,0.3672,0.8066,0.0,0.0,0.916,1.22,2.137,0.0,0.0,0.0
0.1,4.0,21,0.5356,0.001297,0.3792,0.195,1.0,0.9795,1.085,2.064,0.0,0.0,0.0
0.1,4.0,30,-0.015076,0.5654,0.4463,0.0,0.0,0.8267,1.417,2.244,0.0,0.0,0.0
0.1,4.0,31,0.2637,0.2261,0.2776,1.397,1.0,0.693,1.468,2.16,0.0,0.0,0.0
0.1,4.0,40,-0.015076,0.5654,0.0,0.0,0.0,0.7925,1.553,2.346,0.0,0.0,0.0
0.1,4.0,41,0.04407,0.3054,0.0,2.5,1.0,0.5557,1.694,2.25,0.0,0.0,0.0
0.1,4.0,43,0.00456,0.4314,0.0,0.0,1.0,0.3782,1.987,2.365,0.0,0.0,0.0
0.1,5.0,20,0.0,0.0,0.3945,0.0,0.0,0.454,0.582,1.036,0.0,1.0,0.0
0.1,5.0,21,0.604,0.002028,0.1159,0.06305,1.0,1.338,0.6367,1.975,0.4626,0.751,0.4678
0.1,5.0,30,0.0,0.0,0.3945,0.9688,0.0,0.454,0.582,1.036,0.0,1.0,0.0
0.1,5.0,31,0.11316,0.508,0.10516,1.572,1.0,1.026,0.9873,2.014,0.4268,0.693,0.4316
0.1,5.0,40,0.0,0.0,0.0,0.9688,0.0,0.3818,0.7524,1.134,0.0,1.0,0.0
0.1,5.0,41,-0.6763,0.6084,0.01566,2.855,1.0,0.4438,1.616,2.06,0.3735,0.6064,0.378
0.1,5.0,43,-2.252,0.427,0.0693,1.254,1.0,0.03043,1.9795,2.01,0.456,0.74,0.4614
0.1,6.0,20,0.0,0.0,0.3477,0.0,0.0,0.4402,0.5796,1.02,0.0,1.0,0.0
0.1,6.0,21,0.642,0.0003686,0.0842,0.04855,1.0,1.478,0.503,1.981,0.869,0.993,0.875
0.1,6.0,30,0.0,0.0,0.3477,0.9688,0.0,0.4402,0.5796,1.02,0.0,1.0,0.0
0.1,6.0,31,0.6147,0.00509,0.0755,1.564,1.0,1.458,0.5337,1.991,0.8687,0.9927,0.8745
0.1,6.0,40,0.0,0.0,0.0,0.9688,0.0,0.3274,0.7866,1.114,0.0,1.0,0.0
0.1,6.0,41,0.3296,0.2576,0.01764,2.96,1.0,1.241,0.7646,2.006,0.8687,0.992,0.8745
0.1,6.0,43,-2.545,0.419,0.05093,1.301,1.0,0.02042,1.989,2.01,0.862,0.9844,0.867
0.1,7.0,20,0.0,0.0,0.3079,0.0,0.0,0.4365,0.5713,1.008,0.0,1.0,0.0
0.1,7.0,21,0.6694,0.0002067,0.06665,0.03912,1.0,1.551,0.4404,1.991,0.927,0.9917,0.9346
0.1,7.0,30,0.0,0.0,0.3079,0.9688,0.0,0.4365,0.5713,1.008,0.0,1.0,0.0
