alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.1,1.0,20,0.3972,0.0,1.316,0.0,0.0,1.456,1.576,3.033,0.0,0.0,0.0
0.1,1.0,21,0.3743,0.0,1.197,0.7026,1.0,1.142,1.647,2.79,0.0,0.0,0.0
0.1,1.0,30,0.4702,0.0,0.6733,0.0,0.0,1.5,1.67,3.17,0.0,0.0,0.0
0.1,1.0,31,0.4243,0.0,0.6216,1.62,1.0,1.162,1.754,2.916,0.0,0.0,0.0
0.1,1.0,40,0.4702,0.0,0.0,0.0,0.0,1.549,1.753,3.303,0.0,0.0,0.0
0.1,1.0,41,0.3818,0.0,0.0,2.5,1.0,1.207,1.843,3.049,0.0,0.0,0.0
0.1,1.0,43,0.4033,0.0,0.0,0.0,1.0,1.137,2.154,3.291,0.0,0.0,0.0
0.1,2.0,20,0.2683,0.3982,1.067,0.0,0.0,1.1,1.264,2.363,0.0,0.0,0.0
0.1,2.0,21,0.3992,0.0006194,0.786,0.4287,1.0,0.9487,1.3,2.248,0.0,0.0,0.0
0.1,2.0,30,0.2087,0.2876,0.5557,0.0,0.0,1.11,1.374,2.484,0.0,0.0,0.0
0.1,2.0,31,0.2761,0.004128,0.4421,1.497,1.0,0.8877,1.466,2.354,0.0,0.0,0.0
0.1,2.0,40,0.2087,0.2876,0.0,0.0,0.0,1.137,1.464,2.6,0.0,0.0,0.0
0.1,2.0,41,0.1937,0.2678,0.0,2.5,1.0,0.886,1.583,2.469,0.0,0.0,0.0
0.1,2.0,43,0.2139,0.2323,0.0,0.0,1.0,0.7944,1.897,2.691,0.0,0.0,0.0
0.1,3.0,20,0.2646,0.3386,0.9336,0.0,0.0,0.985,1.223,2.207,0.0,0.0,0.0
0.1,3.0,21,0.47,0.003035,0.5503,0.2893,1.0,0.931,1.188,2.12,0.0,0.0,0.0
0.1,3.0,30,0.08295,0.2474,0.4983,0.0,0.0,0.9526,1.367,2.32,0.0,0.0,0.0
0.1,3.0,31,0.2426,0.2308,0.3503,1.44,1.0,0.7637,1.454,2.219,0.0,0.0,0.0
0.1,3.0,40,0.08295,0.2474,0.0,0.0,0.0,0.9517,1.476,2.428,0.0,0.0,0.0
0.1,3.0,41,0.10205,0.2413,0.0,2.5,1.0,0.706,1.615,2.322,0.0,0.0,0.0
0.1,3.0,43,0.0833,0.2225,0.0,0.0,1.0,0.5376,1.941,2.479,0.0,0.0,0.0
0.1,4.0,20,0.2952,0.3647,0.7993,0.003782,0.03763,0.9185,1.214,2.133,0.0,0.0,0.0
0.1,4.0,21,0.5356,0.001297,0.3792,0.195,1.0,0.9795,1.085,2.064,0.0,0.0,0.0
0.1,4.0,30,-0.015076,0.5654,0.4463,0.0,0.0,0.8267,1.417,2.244,0.0,0.0,0.0
0.1,4.0,31,0.2637,0.2261,0.2776,1.397,1.0,0.693,1.468,2.16,0.0,0.0,0.0
0.1,4.0,40,-0.015076,0.5654,0.0,0.0,0.0,0.7925,1.553,2.346,0.0,0.0,0.0
0.1,4.0,41,0.04407,0.3054,0.0,2.5,1.0,0.5557,1.694,2.25,0.0,0.0,0.0
0.1,4.0,43,0.00456,0.4314,0.0,0.0,1.0,0.3782,1.987,2.365,0.0,0.0,0.0
0.1,5.0,20,0.0853,0.0202,0.4949,0.06058,0.4592,0.994,0.677,1.671,0.459,0.745,0.4644
0.1,5.0,21,0.604,0.002028,0.1159,0.06305,1.0,1.338,0.6367,1.975,0.4626,0.751,0.4678
0.1,5.0,30,0.010056,0.11444,0.3345,0.4072,0.454,0.898,0.781,1.679,0.4453,0.723,0.4504
0.1,5.0,31,0.11365,0.508,0.1051,1.572,1.0,1.027,0.987,2.014,0.427,0.693,0.432
0.1,5.0,40,0.00858,0.0372,0.001551,0.852,0.2651,0.791,0.887,1.679,0.4604,0.7476,0.4658
0.1,5.0,41,-1.009,0.605,0.01665,2.838,1.0,0.304,1.752,2.057,0.3828,0.6216,0.3872
0.1,5.0,43,-2.252,0.427,0.0693,1.254,1.0,0.03043,1.9795,2.01,0.456,0.74,0.4612
0.1,6.0,20,0.1404,0.02603,0.589,0.1515,0.7163,1.242,0.537,1.78,0.866,0.9883,0.872
0.1,6.0,21,0.642,0.0003674,0.0845,0.0487,1.0,1.478,0.503,1.981,0.8667,0.9893,0.8726
0.1,6.0,30,0.2163,0.02791,0.278,0.876,0.94,1.306,0.5625,1.868,0.8647,0.987,0.8706
0.1,6.0,31,0.6064,0.00539,0.0731,1.5625,1.0,1.451,0.5425,1.993,0.865,0.9873,0.871
0.1,6.0,40,-0.1274,0.2004,0.01799,2.104,1.0,1.046,0.9155,1.961,0.861,0.983,0.867
0.1,6.0,41,-0.2883,0.2366,0.01811,2.953,1.0,0.9536,1.06,2.014,0.8584,0.9795,0.8643
0.1,6.0,43,-2.545,0.419,0.0511,1.301,1.0,0.0204,1.989,2.01,0.859,0.9805,0.8647
0.1,7.0,20,0.1539,0.02551,0.6006,0.1642,0.7427,1.318,0.4778,1.797,0.9243,0.989,0.932
0.1,7.0,21,0.6694,0.0002061,0.0664,0.03897,1.0,1.551,0.4407,1.991,0.925,0.9893,0.9326
0.1,7.0,30,0.2297,0.0241,0.2751,0.8984,0.951,1.374,0.5083,1.883,0.9233,0.988,0.931
