alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.1,1.0,20,0.3972,0.0,1.316,0.0,0.0,1.456,1.576,3.033,0.0,0.0,0.0
0.1,1.0,21,0.3743,0.0,1.197,0.7026,1.0,1.142,1.647,2.79,0.0,0.0,0.0
0.1,1.0,30,0.4702,0.0,0.6733,0.0,0.0,1.5,1.67,3.17,0.0,0.0,0.0
0.1,1.0,31,0.4243,0.0,0.6216,1.62,1.0,1.162,1.754,2.916,0.0,0.0,0.0
0.1,1.0,40,0.4702,0.0,0.0,0.0,0.0,1.549,1.753,3.303,0.0,0.0,0.0
0.1,1.0,41,0.3818,0.0,0.0,2.5,1.0,1.207,1.843,3.049,0.0,0.0,0.0
0.1,1.0,43,0.4033,0.0,0.0,0.0,1.0,1.137,2.154,3.291,0.0,0.0,0.0
0.1,2.0,20,0.2683,0.3984,1.066,0.001155,0.00509,1.099,1.264,2.363,0.0,0.0,0.0
0.1,2.0,21,0.3992,0.0006223,0.7866,0.4287,1.0,0.9487,1.299,2.248,0.0,0.0,0.0
0.1,2.0,30,0.2087,0.2876,0.5557,0.0,0.0,1.11,1.374,2.484,0.0,0.0,0.0
0.1,2.0,31,0.277,0.004158,0.4421,1.497,1.0,0.8877,1.466,2.354,0.0,0.0,0.0
0.1,2.0,40,0.2087,0.2876,0.0,0.0,0.0,1.137,1.464,2.6,0.0,0.0,0.0
0.1,2.0,41,0.1937,0.2678,0.0,2.5,1.0,0.886,1.583,2.469,0.0,0.0,0.0
0.1,2.0,43,0.2139,0.2323,0.0,0.0,1.0,0.7944,1.897,2.691,0.0,0.0,0.0
0.1,3.0,20,0.275,0.331,0.903,0.02634,0.1577,0.973,1.217,2.19,0.0,0.0,0.0
0.1,3.0,21,0.4702,0.003061,0.5513,0.29,1.0,0.931,1.188,2.12,0.0,0.0,0.0
0.1,3.0,30,0.08215,0.2474,0.4983,0.001542,0.001843,0.952,1.368,2.32,0.0,0.0,0.0
0.1,3.0,31,0.2466,0.2312,0.3503,1.44,1.0,0.7656,1.452,2.217,0.0,0.0,0.0
0.1,3.0,40,0.08295,0.2474,0.0,0.0,0.0,0.9517,1.476,2.428,0.0,0.0,0.0
0.1,3.0,41,0.10205,0.2413,0.0,2.5,1.0,0.706,1.615,2.322,0.0,0.0,0.0
0.1,3.0,43,0.0833,0.2225,0.0,0.0,1.0,0.5376,1.941,2.479,0.0,0.0,0.0
0.1,4.0,20,0.3098,0.363,0.7285,0.03952,0.2966,0.9204,1.182,2.102,0.0,0.0,0.0
0.1,4.0,21,0.5356,0.00134,0.3833,0.1973,1.0,0.9795,1.085,2.064,0.0,0.0,0.0
0.1,4.0,30,-0.04178,0.588,0.4407,0.05008,0.0558,0.813,1.426,2.238,0.0,0.0,0.0
0.1,4.0,31,0.277,0.2266,0.2776,1.397,1.0,0.701,1.459,2.16,0.0,0.0,0.0
0.1,4.0,40,-0.015076,0.5654,0.0,0.0,0.0,0.7925,1.553,2.346,0.0,0.0,0.0
0.1,4.0,41,0.04407,0.3054,0.0,2.5,1.0,0.5557,1.694,2.25,0.0,0.0,0.0
0.1,4.0,43,0.00456,0.4314,0.0,0.0,1.0,0.3782,1.987,2.365,0.0,0.0,0.0
0.1,5.0,20,0.3562,0.3237,0.561,0.04184,0.398,0.95,1.098,2.049,0.0,0.0,0.0
0.1,5.0,21,0.5884,0.001769,0.2654,0.1367,1.0,1.085,0.9507,2.035,0.0,0.0,0.0
0.1,5.0,30,-0.1921,0.556,0.373,0.1864,0.2236,0.681,1.49,2.172,0.0,0.0,0.0
0.1,5.0,31,0.3306,0.2355,0.2164,1.411,1.0,0.743,1.381,2.125,0.0,0.0,0.0
0.1,5.0,40,-0.09283,0.656,0.0,0.0,0.0,0.652,1.638,2.29,0.0,0.0,0.0
0.1,5.0,41,0.005672,0.3442,0.0,2.5,1.0,0.4382,1.768,2.205,0.0,0.0,0.0
0.1,5.0,43,-0.04337,0.6484,0.0,0.0,1.0,0.279,2.018,2.297,0.0,0.0,0.0
0.1,6.0,20,0.4084,0.273,0.3752,0.0529,0.432,1.32,0.631,1.951,0.7085,0.808,0.7188
0.1,6.0,21,0.6396,0.000532,0.0903,0.05203,1.0,1.465,0.5176,1.982,0.714,0.8135,0.7236
0.1,6.0,30,-2.422,0.532,0.2588,1.045,0.5796,0.5522,1.451,2.004,0.622,0.709,0.631
0.1,6.0,31,0.2676,0.2349,0.08014,1.56,1.0,1.216,0.7983,2.014,0.675,0.769,0.684
0.1,6.0,40,-2.299,0.638,0.013626,1.586,0.759,0.3315,1.744,2.076,0.547,0.6235,0.5547
0.1,6.0,41,-0.503,0.5757,0.02022,2.822,1.0,0.666,1.383,2.049,0.5947,0.6777,0.603
0.1,6.0,43,-0.0745,0.6616,0.0,0.0,1.0,0.2126,2.037,2.25,0.0,0.0,0.0
0.1,7.0,20,0.4438,0.2708,0.3115,0.0544,0.4272,1.402,0.559,1.961,0.8735,0.9346,0.88
0.1,7.0,21,0.6685,0.0002716,0.0642,0.03763,1.0,1.546,0.4463,1.991,0.8794,0.9404,0.8857
0.1,7.0,30,-1.974,0.5347,0.22,0.8154,0.7295,0.6577,1.354,2.012,0.713,0.7627,0.718
