alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly,mpolyA,mpolyB
0.1,1.0,20,0.3972,0.0,1.316,0.0,0.0,1.456,1.576,3.033,0.0,0.0,0.0
0.1,1.0,21,0.3743,0.0,1.197,0.7026,1.0,1.142,1.647,2.79,0.0,0.0,0.0
0.1,1.0,30,0.4702,0.0,0.6733,0.0,0.0,1.5,1.67,3.17,0.0,0.0,0.0
0.1,1.0,31,0.4243,0.0,0.6216,1.62,1.0,1.162,1.754,2.916,0.0,0.0,0.0
0.1,1.0,40,0.4702,0.0,0.0,0.0,0.0,1.549,1.753,3.303,0.0,0.0,0.0
0.1,1.0,41,0.3818,0.0,0.0,2.5,1.0,1.207,1.843,3.049,0.0,0.0,0.0
0.1,1.0,43,0.4033,0.0,0.0,0.0,1.0,1.137,2.154,3.291,0.0,0.0,0.0
0.1,2.0,20,0.2683,0.398,1.066,0.001218,0.00534,1.099,1.264,2.363,0.0,0.0,0.0
0.1,2.0,21,0.3992,0.0006194,0.786,0.4287,1.0,0.9487,1.3,2.248,0.0,0.0,0.0
0.1,2.0,30,0.2087,0.2876,0.5557,0.0,0.0,1.11,1.374,2.484,0.0,0.0,0.0
0.1,2.0,31,0.2761,0.004128,0.4421,1.497,1.0,0.8877,1.466,2.354,0.0,0.0,0.0
0.1,2.0,40,0.2087,0.2876,0.0,0.0,0.0,1.137,1.464,2.6,0.0,0.0,0.0
0.1,2.0,41,0.1937,0.2678,0.0,2.5,1.0,0.886,1.583,2.469,0.0,0.0,0.0
0.1,2.0,43,0.2139,0.2323,0.0,0.0,1.0,0.7944,1.897,2.691,0.0,0.0,0.0
0.1,3.0,20,0.2747,0.3306,0.903,0.02644,0.1586,0.9727,1.217,2.19,0.0,0.0,0.0
0.1,3.0,21,0.47,0.003035,0.5503,0.2893,1.0,0.931,1.188,2.12,0.0,0.0,0.0
0.1,3.0,30,0.0819,0.2473,0.498,0.001978,0.002338,0.952,1.368,2.32,0.0,0.0,0.0
0.1,3.0,31,0.2426,0.2308,0.3503,1.44,1.0,0.7637,1.454,2.219,0.0,0.0,0.0
0.1,3.0,40,0.08295,0.2474,0.0,0.0,0.0,0.9517,1.476,2.428,0.0,0.0,0.0
0.1,3.0,41,0.10205,0.2413,0.0,2.5,1.0,0.706,1.615,2.322,0.0,0.0,0.0
0.1,3.0,43,0.0833,0.2225,0.0,0.0,1.0,0.5376,1.941,2.479,0.0,0.0,0.0
0.1,4.0,20,0.3098,0.3623,0.7275,0.0395,0.2993,0.9204,1.181,2.102,0.0,0.0,0.0
0.1,4.0,21,0.5356,0.001297,0.3792,0.195,1.0,0.9795,1.085,2.064,0.0,0.0,0.0
0.1,4.0,30,-0.04373,0.587,0.4404,0.051,0.05676,0.812,1.427,2.238,0.0,0.0,0.0
0.1,4.0,31,0.2637,0.2261,0.2776,1.397,1.0,0.693,1.468,2.16,0.0,0.0,0.0
0.1,4.0,40,-0.015076,0.5654,0.0,0.0,0.0,0.7925,1.553,2.346,0.0,0.0,0.0
0.1,4.0,41,0.04407,0.3054,0.0,2.5,1.0,0.5557,1.694,2.25,0.0,0.0,0.0
0.1,4.0,43,0.00456,0.4314,0.0,0.0,1.0,0.3782,1.987,2.365,0.0,0.0,0.0
0.1,5.0,20,0.3572,0.3254,0.565,0.04077,0.3943,0.952,1.096,2.047,0.0,0.0,0.0
0.1,5.0,21,0.589,0.001737,0.2605,0.1348,1.0,1.091,0.942,2.033,0.0,0.0,0.0
0.1,5.0,30,-0.1588,0.5684,0.376,0.1637,0.2004,0.6904,1.481,2.172,0.0,0.0,0.0
0.1,5.0,31,0.3281,0.2391,0.2178,1.431,1.0,0.752,1.363,2.115,0.0,0.0,0.0
0.1,5.0,40,-0.09283,0.656,0.0,0.0,0.0,0.652,1.638,2.29,0.0,0.0,0.0
0.1,5.0,41,0.005672,0.3442,0.0,2.5,1.0,0.4382,1.768,2.205,0.0,0.0,0.0
0.1,5.0,43,-0.04337,0.6484,0.0,0.0,1.0,0.279,2.018,2.297,0.0,0.0,0.0
0.1,6.0,20,0.4033,0.2952,0.4304,0.04697,0.4724,1.079,0.9297,2.01,5.4e-7,8.3e-7,6.6e-7
0.1,6.0,21,0.6304,0.000603,0.1819,0.0982,1.0,1.269,0.743,2.012,7.0e-7,1.13e-6,8.3e-7
0.1,6.0,30,-0.2803,0.536,0.315,0.2913,0.3428,0.655,1.465,2.12,1.0e-7,2.0e-7,1.0e-7
0.1,6.0,31,0.4094,0.00934,0.1697,1.512,1.0,0.9688,1.101,2.07,5.0e-7,7.0e-7,5.4e-7
0.1,6.0,40,-0.1505,0.664,0.0,0.0,0.0,0.5376,1.711,2.248,0.0,0.0,0.0
0.1,6.0,41,-0.02336,0.3416,0.0,2.5,1.0,0.3506,1.825,2.176,0.0,0.0,0.0
0.1,6.0,43,-0.0745,0.6616,0.0,0.0,1.0,0.2126,2.037,2.25,0.0,0.0,0.0
0.1,7.0,20,0.4463,0.2727,0.3696,0.0579,0.5034,1.257,0.7344,1.991,0.007553,0.00864,0.008026
0.1,7.0,21,0.6626,0.0003507,0.1294,0.0735,1.0,1.443,0.5605,2.004,0.00878,0.01004,0.00933
0.1,7.0,30,-0.3528,0.537,0.2666,0.4773,0.478,0.74,1.339,2.078,0.002918,0.003338,0.003103
