alpha,beta,c,gamma,p0,sigma,market,margin,bcost,entry,exit,merger,bundling,profits,surplus,welfare,mpoly,mpolyA,mpolyB,profitsLR,surplusLR,welfareLR
0.0,0.95,1.0,0.0,1.0,1.0,200,0.5747,0.0,1.394,0.0,0.1014,0.0,1.591,0.9277,2.52,0.0,0.0,0.0,1.773,1.221,2.994
0.0,0.95,1.0,0.0,1.0,1.0,210,0.774,0.0,1.35,0.5024,1.0,0.0,1.603,1.041,2.643,0.0,0.0,0.0,1.773,1.221,2.994
0.0,0.95,1.0,0.0,1.0,1.0,211,0.5073,0.0,0.8945,0.3606,1.0,1.0,1.133,1.041,2.174,0.0,0.0,0.0,1.198,1.383,2.58
0.0,0.95,1.0,0.0,1.0,1.0,300,0.671,0.0,0.712,0.0,0.2559,0.0,1.685,1.002,2.686,0.0,0.0,0.0,1.773,1.221,2.994
0.0,0.95,1.0,0.0,1.0,1.0,310,0.4077,0.0,0.708,0.8105,1.0,0.0,1.686,1.086,2.771,0.0,0.0,0.0,1.773,1.221,2.994
0.0,0.95,1.0,0.0,1.0,1.0,311,0.536,0.0,0.537,0.9404,1.0,1.0,1.168,1.123,2.291,0.0,0.0,0.0,1.198,1.383,2.58
0.0,0.95,1.0,0.0,1.0,1.0,400,0.9126,0.0,0.0,0.0,0.6265,0.0,1.784,1.11,2.895,0.0,0.0,0.0,1.773,1.221,2.994
0.0,0.95,1.0,0.0,1.0,1.0,410,0.901,0.0,0.0,0.0,1.0,0.0,1.781,1.16,2.941,0.0,0.0,0.0,1.773,1.221,2.994
0.0,0.95,1.0,0.0,1.0,1.0,430,0.8867,0.0,0.0,0.0,1.0,0.0,1.773,1.221,2.994,0.0,0.0,0.0,1.773,1.221,2.994
0.0,0.95,1.0,0.0,1.0,1.0,411,0.655,0.0,0.0,0.0,1.0,1.0,1.241,1.252,2.492,0.0,0.0,0.0,1.198,1.383,2.58
0.0,0.95,1.0,0.0,1.0,1.0,431,0.599,0.0,0.0,0.0,1.0,1.0,1.198,1.383,2.58,0.0,0.0,0.0,1.198,1.383,2.58
0.0,0.95,1.0,0.0,1.0,10.0,200,0.005413,0.0,0.302,0.001376,0.0,0.0,0.3398,0.4836,0.823,0.0,0.0,0.0,0.4,1.738,2.139
0.0,0.95,1.0,0.0,1.0,10.0,210,0.05603,0.0856,0.764,0.4004,1.0,0.00884,0.7627,0.7427,1.505,0.001382,0.001459,0.001459,0.3955,1.737,2.133
0.0,0.95,1.0,0.0,1.0,10.0,211,0.02335,0.0,0.1091,0.06027,1.0,1.0,0.08044,0.0837,0.1641,0.04468,0.0472,0.0472,0.2727,1.69,1.964
0.0,0.95,1.0,0.0,1.0,10.0,300,0.1018,0.012955,0.2262,0.0,0.0,0.0,0.902,0.938,1.84,0.0,0.0,0.0,0.4,1.738,2.139
0.0,0.95,1.0,0.0,1.0,10.0,310,0.237,0.2174,0.2262,1.131,1.0,0.0,1.013,0.961,1.974,0.0,0.0,0.0,0.4,1.738,2.139
0.0,0.95,1.0,0.0,1.0,10.0,311,0.5444,0.0,0.1322,1.413,1.0,1.0,0.309,0.3215,0.631,0.0374,0.03952,0.03952,0.275,1.705,1.98
