alpha,beta,c,gamma,p0,sigma,market,margin,bcost,entry,exit,merger,bundling,profits,surplus,welfare,mpoly,mpolyA,mpolyB,profitsLR,surplusLR,welfareLR
0.0,0.95,1.0,0.0,1.0,1.0,200,0.616,0.0,1.378,0.2429,0.766,0.0,1.591,0.9956,2.586,0.0,0.0,0.0,1.773,1.221,2.994
0.0,0.95,1.0,0.0,1.0,1.0,210,0.85,0.0,1.35,0.5024,1.0,0.0,1.602,1.043,2.645,0.0,0.0,0.0,1.773,1.221,2.994
0.0,0.95,1.0,0.0,1.0,1.0,300,0.5693,0.0,0.7134,0.2925,0.8306,0.0,1.684,1.061,2.744,0.0,0.0,0.0,1.773,1.221,2.994
0.0,0.95,1.0,0.0,1.0,1.0,310,0.398,0.0,0.7095,0.8096,1.0,0.0,1.685,1.091,2.775,0.0,0.0,0.0,1.773,1.221,2.994
0.0,0.95,1.0,0.0,1.0,1.0,400,0.896,0.0,0.0,0.0,0.803,0.0,1.782,1.138,2.92,0.0,0.0,0.0,1.773,1.221,2.994
0.0,0.95,1.0,0.0,1.0,1.0,410,0.8926,0.0,0.0,0.0,1.0,0.0,1.779,1.17,2.95,0.0,0.0,0.0,1.773,1.221,2.994
0.0,0.95,1.0,0.0,1.0,1.0,430,0.8867,0.0,0.0,0.0,1.0,0.0,1.773,1.221,2.994,0.0,0.0,0.0,1.773,1.221,2.994
0.0,0.95,1.0,0.0,1.0,10.0,200,0.002714,0.0,0.4302,0.061,0.195,0.0,0.451,0.596,1.047,0.0,0.0,0.0,0.4,1.738,2.139
0.0,0.95,1.0,0.0,1.0,10.0,210,0.002365,0.0,0.2732,0.1252,1.0,0.0,0.3486,0.4714,0.8203,0.0,0.0,0.0,0.4,1.738,2.139
0.0,0.95,1.0,0.0,1.0,10.0,300,0.0316,0.0,0.2262,0.6665,0.929,0.0,0.8994,0.968,1.867,0.0,0.0,0.0,0.4,1.738,2.139
0.0,0.95,1.0,0.0,1.0,10.0,310,0.04196,0.0,0.2262,1.131,1.0,0.0,1.052,0.9937,2.045,0.0,0.0,0.0,0.4,1.738,2.139
0.0,0.95,1.0,0.0,1.0,10.0,400,0.2,0.0,0.0,0.0,5.07e-6,0.0,0.4,1.738,2.139,0.0,0.0,0.0,0.4,1.738,2.139
0.0,0.95,1.0,0.0,1.0,10.0,410,0.2,0.0,0.0,0.0,1.0,0.0,0.4,1.738,2.139,0.0,0.0,0.0,0.4,1.738,2.139
0.0,0.95,1.0,0.0,1.0,10.0,430,0.2,0.0,0.0,0.0,1.0,0.0,0.4,1.738,2.139,0.0,0.0,0.0,0.4,1.738,2.139
0.0,0.95,1.0,0.0,1.0,2.0,200,0.6387,0.0,1.228,0.1942,0.6177,0.0,1.396,0.866,2.264,0.0,0.0,0.0,1.499,1.049,2.547
0.0,0.95,1.0,0.0,1.0,2.0,210,0.914,0.0,1.175,0.4568,1.0,0.0,1.396,0.9067,2.303,0.0,0.0,0.0,1.491,1.063,2.555
0.0,0.95,1.0,0.0,1.0,2.0,300,0.475,0.0,0.6484,0.2605,0.5547,0.0,1.461,0.929,2.39,0.0,0.0,0.0,1.504,1.04,2.545
0.0,0.95,1.0,0.0,1.0,2.0,310,0.2864,0.0,0.6367,0.868,1.0,0.0,1.447,0.9624,2.41,0.0,0.0,0.0,1.491,1.063,2.555
0.0,0.95,1.0,0.0,1.0,2.0,400,0.7627,0.0,0.0,0.0,0.0,0.0,1.525,1.003,2.527,0.0,0.0,0.0,1.525,1.003,2.527
0.0,0.95,1.0,0.0,1.0,2.0,410,0.7456,0.0,0.0,0.0,1.0,0.0,1.491,1.063,2.555,0.0,0.0,0.0,1.491,1.063,2.555
