alpha,beta,c,gamma,p0,sigma,market,margin,bcost,entry,exit,merger,bundling,profits,surplus,welfare,mpoly,mpolyA,mpolyB,profitsLR,surplusLR,welfareLR
0.0,0.95,1.0,0.0,1.0,1.0,200,0.5693,0.0,1.4,0.0,0.0,0.0,1.602,0.8276,2.43,0.0,0.0,0.0,1.796,0.967,2.764
0.0,0.95,1.0,0.0,1.0,1.0,300,0.6606,0.0,0.7197,0.0,0.0,0.0,1.696,0.8877,2.584,0.0,0.0,0.0,1.796,0.967,2.764
0.0,0.95,1.0,0.0,1.0,1.0,400,0.898,0.0,0.0,0.0,0.0,0.0,1.796,0.967,2.764,0.0,0.0,0.0,1.796,0.967,2.764
0.0,0.95,1.0,0.0,1.0,10.0,200,0.0,0.0,4.83e-5,1.48e-5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.95,1.0,0.0,1.0,10.0,300,1.89e-5,0.0,0.002748,0.97,0.0,0.0,9.1e-6,3.964e-5,4.876e-5,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.95,1.0,0.0,1.0,10.0,400,0.05176,0.0,0.002611,1.925,0.0,0.0,0.02342,0.1018,0.1252,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.95,1.0,0.0,1.0,2.0,200,0.5835,0.0,1.258,0.0,0.0,0.0,1.416,0.822,2.238,0.0,0.0,0.0,1.525,1.003,2.527
0.0,0.95,1.0,0.0,1.0,2.0,300,0.551,0.0,0.653,0.0,0.0,0.0,1.479,0.893,2.373,0.0,0.0,0.0,1.525,1.003,2.527
0.0,0.95,1.0,0.0,1.0,2.0,400,0.7627,0.0,0.0,0.0,0.0,0.0,1.525,1.003,2.527,0.0,0.0,0.0,1.525,1.003,2.527
0.0,0.95,1.0,0.0,1.0,3.0,200,0.6216,0.0,1.096,0.0,0.0,0.0,1.2705,0.894,2.164,0.0,0.0,0.0,1.258,1.177,2.434
0.0,0.95,1.0,0.0,1.0,3.0,300,0.4585,0.0,0.5747,0.0,0.0,0.0,1.293,0.997,2.291,0.0,0.0,0.0,1.258,1.177,2.434
0.0,0.95,1.0,0.0,1.0,3.0,400,0.629,0.0,0.0,0.0,0.0,0.0,1.258,1.177,2.434,0.0,0.0,0.0,1.258,1.177,2.434
0.0,0.95,1.0,0.0,1.0,4.0,200,0.658,0.0,0.9155,0.0,0.0,0.0,1.159,0.932,2.092,0.0,0.0,0.0,0.991,1.353,2.344
0.0,0.95,1.0,0.0,1.0,4.0,300,0.3772,0.0,0.484,0.0,0.0,0.0,1.134,1.076,2.21,0.0,0.0,0.0,0.991,1.353,2.344
0.0,0.95,1.0,0.0,1.0,4.0,400,0.4956,0.0,0.0,0.0,0.0,0.0,0.991,1.353,2.344,0.0,0.0,0.0,0.991,1.353,2.344
0.0,0.95,1.0,0.0,1.0,5.0,200,0.692,0.0,0.772,0.0,0.0,0.0,1.118,0.923,2.041,0.0,0.0,0.0,0.799,1.478,2.277
0.0,0.95,1.0,0.0,1.0,5.0,300,0.3184,0.0,0.4092,0.0,0.0,0.0,1.05,1.104,2.154,0.0,0.0,0.0,0.799,1.478,2.277
0.0,0.95,1.0,0.0,1.0,5.0,400,0.3994,0.0,0.0,0.0,0.0,0.0,0.799,1.478,2.277,0.0,0.0,0.0,0.799,1.478,2.277
0.0,0.95,1.0,0.0,1.0,6.0,200,0.721,0.0,0.6655,0.0,0.0,0.0,1.121,0.8896,2.01,0.0,0.0,0.0,0.6665,1.564,2.23
0.0,0.95,1.0,0.0,1.0,6.0,300,0.2754,0.0,0.3528,0.0,0.0,0.0,1.017,1.1,2.117,0.0,0.0,0.0,0.6665,1.564,2.23
0.0,0.95,1.0,0.0,1.0,6.0,400,0.3333,0.0,0.0,0.0,0.0,0.0,0.6665,1.564,2.23,0.0,0.0,0.0,0.6665,1.564,2.23
0.0,0.95,1.0,0.0,1.0,7.0,200,0.7456,0.0,0.5854,0.0,0.0,0.0,1.145,0.8467,1.991,0.0,0.0,0.0,0.5713,1.627,2.197
