s,t,pr_s1,q1,q2,q3,q4,q5,q6,q7
1.0,1.0,0.09491410731715753,0.6643987512201027,0.2255690495767872,0.10310431172916387,0.006927887473946133,0.0,0.0,0.0
6.0,1.0,0.1894406115619885,0.0,0.9702005953502709,0.0,0.0297994046497292,0.0,0.0,0.0
11.0,1.0,0.11138095093702459,0.0,0.042027449547466754,0.48194840655821386,0.42810978600248806,0.027919514609024112,0.019994843282807373,0.0
26.0,1.0,0.19185041743721357,0.0,0.08828718645939469,0.0,0.8781158439343318,0.0,0.03359696960627346,0.0
61.0,1.0,0.11273015680734033,0.0,0.0,0.1946139382717944,0.0,0.7611915830423582,0.04419447868584747,0.0
76.0,1.0,0.1568266130821326,0.0,0.0,0.0,0.0,0.0,1.0,0.0
101.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,0.046815134653146365,0.32770594256815466,0.45258323521402183,0.0961294784048076,0.11128596314101374,0.0062853557128194504,0.006010024959182617,0.0
6.0,3.0,0.2536885411700337,0.0,0.920672891749936,0.0,0.07638873705732109,0.0,0.0029383711927431326,0.0
11.0,3.0,0.06815419223560419,3.869886427546138e-12,0.15635079574577002,0.12263395403718516,0.6156830221611984,0.0331357039113856,0.07219652414059091,0.0
26.0,3.0,0.2345331977230801,0.0,0.22627338897918334,0.0,0.6828481276723168,0.0,0.09087848334849974,0.0
61.0,3.0,0.07050587136275968,0.0,0.019939476501324747,0.25831591320723657,0.15552653402971056,0.45412003991511257,0.11209803634661564,0.0
76.0,3.0,0.18344591999823318,0.0,0.0,0.0,0.0,0.0,1.0,0.0
101.0,3.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,5.0,0.025041420910271,0.17528994636273848,0.5606638355543413,0.062030573120446394,0.17242368812948514,0.011778404992811941,0.017813551840176266,0.0
6.0,5.0,0.29958302361643224,0.0,0.8816350881341848,0.0,0.10931483070769113,0.0,0.009050081158124083,0.0
11.0,5.0,0.04213081158113098,9.158494696856527e-12,0.2615080024251656,0.038780581382469856,0.5537564508771591,0.024082975088287665,0.12187199021775937,0.0
26.0,5.0,0.23709997187290802,0.0,0.32846371425479737,0.0,0.5335628404759237,0.0,0.13797344526927885,0.0
61.0,5.0,0.045634778028622605,0.0,0.0648105249465368,0.1941045265650006,0.29064199292009696,0.28358206611925857,0.1668608894491073,0.0
76.0,5.0,0.20765285113349227,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
101.0,5.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,10.0,0.0052952695641308185,0.037066886943252726,0.6581473335348195,0.017638088720407778,0.21286001229330018,0.018512761996302085,0.05577491651191762,0.0
6.0,10.0,0.36558286269157286,0.0,0.8117999979004417,0.0,0.15561707446601897,0.0,0.03258292763353983,0.0
11.0,10.0,0.011908411660495602,5.663005618769624e-12,0.42274826525070663,0.006074499967713702,0.34976954549974354,0.009494164263139333,0.211913525013034,0.0
26.0,10.0,0.19854148045213557,0.0,0.4633485991384567,0.0,0.3187085206864166,0.0,0.21794288017512667,0.0
61.0,10.0,0.020244909403872025,0.0,0.20303584301658573,0.05964629293534775,0.3528352102194698,0.11370743956766276,0.2707752142609345,0.0
76.0,10.0,0.25556992337065043,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
101.0,10.0,0.14285714285714288,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
1.0,30.0,1.0984259763108691e-5,7.688981832170997e-5,0.6153555199894718,0.00025649396719319386,0.1684865058667911,0.02166996162761343,0.19415462873061007,0.0
6.0,30.0,0.375285732307587,0.0,0.6671590798173166,0.0,0.17475667950710191,0.0,0.1580842406755835,0.0
11.0,30.0,7.828828124247402e-5,2.0050860139037672e-14,0.4816219739756085,2.588874820272254e-5,0.14555791727954165,0.003958767118525363,0.368835452878103,0.0
26.0,30.0,0.10871690811672761,0.0,0.4886958088344259,0.0,0.14553376721506622,0.0,0.36577042395050896,0.0
61.0,30.0,0.01174517640203555,0.0,0.37416774353628623,0.0002656352533014017,0.12668348694859227,0.05658750606811006,0.4422956281937115,0.0
76.0,30.0,0.36130576777550244,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
101.0,30.0,0.14285714285714288,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
1.0,100.0,4.623194364714761e-15,3.2362360544372373e-14,0.35658689575344604,3.040733641985139e-8,0.09775973666757587,0.021797809867461305,0.5238555273041529,0.0
6.0,100.0,0.21876388707302344,0.0,0.3841586129407294,0.0,0.10525414374332862,0.0,0.5105872433159481,0.0
11.0,100.0,4.344118133377784e-9,8.630954133958139e-24,0.28045329362033106,1.3248270589626384e-13,0.07737441728548716,0.003934935953690601,0.6382373531403628,0.0
26.0,100.0,0.06008851473554783,0.0,0.28340887636891854,0.0,0.0782418520000247,0.0,0.6383492716310608,0.0
61.0,100.0,0.011725107806817906,0.0,0.22673953082773876,1.3580310871997008e-12,0.061989453452418436,0.056343008826573435,0.6549280068919151,0.0
76.0,100.0,0.5665653431833485,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
101.0,100.0,0.14285714285714288,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
