s,t,pr_s1,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
1.0,1.0,0.06159831573066516,0.6775814730373168,0.24191968932831961,0.0,0.0724185269626832,0.008080310671680389,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.0,0.10053600568569249,0.0,0.8083079045147892,0.160281362771747,0.0,0.02702265447453949,0.004388078238924201,0.0,0.0,0.0,0.0,0.0
11.0,1.0,0.11586958630523109,0.0,0.0,0.9733522736043593,0.0,0.0,0.026647726395640732,0.0,0.0,0.0,0.0,0.0
16.0,1.0,0.04919731881747098,0.0,0.019703876223904414,0.0,0.46875198002949753,0.4490488001090713,0.0,0.03124801997050249,0.031247323667024336,0.0,0.0,0.0
36.0,1.0,0.0833581751122939,0.0,0.035964592475603865,0.046977224446511735,0.0,0.43278816097994177,0.43551240965746946,0.0,0.031247246544454387,0.0,0.017510365896018773,0.0
66.0,1.0,0.12159791612313109,0.0,0.0,0.09395458853492387,0.0,0.0,0.8710288630624078,0.0,0.0,0.0,0.03501654840266834,0.0
96.0,1.0,0.0937498199973184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111.0,1.0,0.0965904154737708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
136.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151.0,1.0,0.09568426493624428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,0.028244755666488198,0.3106923123313702,0.4074384442478496,0.09921171407065549,0.07259171155486217,0.07064032334736499,0.027102580288169857,0.004734329532177965,0.006421516989783298,0.0,0.0011670676377666315,0.0
6.0,3.0,0.09386734124683623,0.0,0.5289471183030636,0.38915204515291346,0.0,0.03252530423594087,0.0454278162036414,0.0,0.001849517046375209,0.0,0.0020981990580653015,0.0
11.0,3.0,0.17295190984027292,0.0,0.0,0.9293503261484322,0.0,0.0,0.0679161594317859,0.0,0.0,0.0,0.0027335144197816515,0.0
16.0,3.0,0.015962646185495578,0.0,0.05466071175777892,0.06746326551938062,0.10299739648558917,0.273543292717123,0.346270949073356,0.05276276360670333,0.07940062524928987,0.0,0.022900995590779075,0.0
36.0,3.0,0.04185468569801503,0.0,0.04149447940650627,0.17824246194690313,0.0,0.08369262237773628,0.5803836076216331,0.0,0.050680799411430846,0.0,0.0655060292357903,0.0
66.0,3.0,0.15759350975070371,0.0,0.0,0.2390511954047176,0.0,0.0,0.6664274946391544,0.0,0.0,0.0,0.0945213099561279,0.0
96.0,3.0,0.09613609937626193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111.0,3.0,0.10348658715426176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
136.0,3.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151.0,3.0,0.10808428326348282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,3.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
1.0,5.0,0.01294457507879816,0.14239032586677977,0.3853729885876046,0.23893127525307914,0.042014151272450034,0.07087855912222728,0.08994890554609426,0.00867741979973195,0.0148398466232537,0.0,0.006946527928779396,0.0
6.0,5.0,0.07405707806681988,0.0,0.3466717191441589,0.5340593073102369,0.0,0.024140759484097548,0.08414594465744718,0.0,0.0037136682639882465,0.0,0.007268601140071291,0.0
11.0,5.0,0.22472125644742674,0.0,0.0,0.8949174501948559,0.0,0.0,0.09683286953754608,0.0,0.0,0.0,0.008249680267597722,0.0
16.0,5.0,0.005876857043060249,0.0,0.052139361960870496,0.17232895006076543,0.022631276201212698,0.09516304653102081,0.4429118033737057,0.05749016413247006,0.0978603709571044,0.0,0.0594750267828505,0.0
36.0,5.0,0.01887405961080324,0.0,0.030443789042384643,0.2902211018192274,0.0,0.017432290581489998,0.49795463263786527,0.0,0.05447039022440295,0.0,0.10947779569462968,0.0
66.0,5.0,0.15721900491729937,0.0,0.0,0.3414757362835297,0.0,0.0,0.5176148983376349,0.0,0.0,0.0,0.1409093653788353,0.0
96.0,5.0,0.09692432581201839,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111.0,5.0,0.10644402509715904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
136.0,5.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151.0,5.0,0.1211206361084331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,5.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
1.0,10.0,0.0018404017094115265,0.02024441880352679,0.19276944713342697,0.5143606972889231,0.006942265105269768,0.024679189123119127,0.1670737988950745,0.012280125811834488,0.02617518675900178,0.0,0.03547487107982351,0.0
6.0,10.0,0.03149725513702766,0.0,0.12073108978660045,0.7000650072608452,0.0,0.008789298056898173,0.13546440548519456,0.0,0.006295695175707232,0.0,0.02865450423475486,0.0
11.0,10.0,0.304135017961589,0.0,0.0,0.8349742231698416,0.0,0.0,0.13577740693274587,0.0,0.0,0.0,0.029248369897412245,0.0
16.0,10.0,0.000677676120863132,0.0,0.021940992143124498,0.3639164065515538,0.0005121722242246821,0.005112837150357706,0.3073082691825956,0.05879128303925086,0.10546741110382578,0.0,0.13695062860506724,0.0
36.0,10.0,0.00360217804920249,0.0,0.011028277444152334,0.4504379017921448,0.0,0.0010426342108523804,0.296340520337169,0.0,0.055536169759648354,0.0,0.18561449645603328,0.0
66.0,10.0,0.12201032583618474,0.0,0.0,0.4817309615141705,0.0,0.0,0.3001491833652526,0.0,0.0,0.0,0.2181198551205769,0.0
96.0,10.0,0.09737012807737142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111.0,10.0,0.1084976784361985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
136.0,10.0,0.09090909090909093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0
151.0,10.0,0.14855115685396983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,10.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
1.0,30.0,7.519816805970135e-7,8.271798486567149e-6,0.003430211266438123,0.6589064497279549,2.9122200533515073e-6,0.00025514290523986883,0.14149051414008945,0.012941876186854398,0.030301004354727955,0.0,0.1526636174001555,0.0
