s,t,pr_s1,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
1.0,1.0,0.05025937494004398,0.5528531243404838,0.11773493271827094,0.0,0.2780489661632358,0.0513629767780094,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.07399890616659872,0.0,0.696253035114315,0.0,0.0,0.303746964885685,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,0.07648899196130124,0.0,0.0,0.8413789115743137,0.0,0.0,0.15862108842568634,0.0,0.0,0.0,0.0,0.0
4.0,1.0,0.08183710109604081,0.0,0.0,0.0,0.6221591458932132,0.19046371328637918,0.0,0.14507465628018498,0.04230248454022262,0.0,0.0,0.0
6.0,1.0,0.12398505122995752,0.0,0.0,0.0,0.0,0.8182619085794594,0.0,0.0,0.1817380914205407,0.0,0.0,0.0
8.0,1.0,0.09483256256087,0.0,0.0,0.0,0.0,0.0,0.8845370997438836,0.0,0.0,0.0,0.11546290025611643,0.0
10.0,1.0,0.10409769602547136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11.0,1.0,0.11127641599643302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,1.0,0.1014057182051015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,0.01536160591725988,0.16897766508985868,0.13837863843175555,0.0,0.2882509155600777,0.25281738679222465,0.0,0.08773533483510823,0.06384005929097507,0.0,0.0,0.0
2.0,3.0,0.04326363917360532,0.0,0.3375213924779029,0.0,0.0,0.5236713651574373,0.0,0.0,0.13880724236465974,0.0,0.0,0.0
3.0,3.0,0.05414797037846661,0.0,0.0,0.5956276741631327,0.0,0.0,0.35444758116580777,0.0,0.0,0.0,0.04992474467105958,0.0
4.0,3.0,0.04809795671130137,0.0,0.0,0.0,0.24082660826423744,0.2982135468368633,0.0,0.2914899690333663,0.16946987586553286,0.0,0.0,0.0
6.0,3.0,0.14750651337166334,0.0,0.0,0.0,0.0,0.5478693483017716,0.0,0.0,0.4521306516982285,0.0,0.0,0.0
8.0,3.0,0.09513769180107516,0.0,0.0,0.0,0.0,0.0,0.6920670286460191,0.0,0.0,0.0,0.307932971353981,0.0
10.0,3.0,0.12538411853349768,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11.0,3.0,0.16584071174721784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12.0,3.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,3.0,0.12344161054773096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,3.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,5.0,0.004695222267262587,0.05164744493988845,0.0919320107345983,0.0,0.16678359230752554,0.338905658560206,0.0,0.16238682344009644,0.18834447001768517,0.0,0.0,0.0
2.0,5.0,0.023231970785022413,0.0,0.16361966790064822,0.0,0.0,0.5058952362092106,0.0,0.0,0.3304850958901412,0.0,0.0,0.0
3.0,5.0,0.03833234849781667,0.0,0.0,0.4216558334759834,0.0,0.0,0.4403848817570328,0.0,0.0,0.0,0.1379592847669838,0.0
4.0,5.0,0.02363665801513185,0.0,0.0,0.0,0.09321964585892481,0.2657399255690694,0.0,0.34816470153717544,0.2928757270348303,0.0,0.0,0.0
6.0,5.0,0.13430619455693008,0.0,0.0,0.0,0.0,0.366827319787745,0.0,0.0,0.6331726802122551,0.0,0.0,0.0
8.0,5.0,0.0892601995357818,0.0,0.0,0.0,0.0,0.0,0.5414773131365671,0.0,0.0,0.0,0.458522686863433,0.0
10.0,5.0,0.13732286590702472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11.0,5.0,0.2222616339231738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12.0,5.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,5.0,0.14513472469367425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,5.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,10.0,0.00024249623352898267,0.0026674585688188095,0.019789938528462198,0.0,0.02416145307761046,0.2326524943359058,0.0,0.22884184601480367,0.491886809474399,0.0,0.0,0.0
2.0,10.0,0.0042328485683982365,0.0,0.026771395723918408,0.0,0.0,0.2683506064600445,0.0,0.0,0.7048779978160371,0.0,0.0,0.0
3.0,10.0,0.01616305835493875,0.0,0.0,0.17779364190432626,0.0,0.0,0.4241492790789142,0.0,0.0,0.0,0.3980570790167596,0.0
4.0,10.0,0.0029864868592430743,0.0,0.0,0.0,0.008689902374063358,0.12225284640922228,0.0,0.3806204917150492,0.48843675950166515,0.0,0.0,0.0
6.0,10.0,0.0688925663407121,0.0,0.0,0.0,0.0,0.13456228254266056,0.0,0.0,0.8654377174573397,0.0,0.0,0.0
8.0,10.0,0.06521335997459182,0.0,0.0,0.0,0.0,0.0,0.29319768064159596,0.0,0.0,0.0,0.7068023193584042,0.0
10.0,10.0,0.14631475797544116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11.0,10.0,0.3227853894772219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12.0,10.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,10.0,0.19135085439774216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
