s,t,pr_s1,q1,q2,q3,q4,q5,q6,q7
1.0,1.0,0.16460381947258632,0.9263218578627229,0.0,0.0736781421372771,0.0,0.0,0.0,0.0
6.0,1.0,0.17687013701254423,0.0,0.9958837310303337,0.0,0.004116268969666307,0.0,0.0,0.0
11.0,1.0,0.14837203854510114,0.22590487844538124,0.0,0.7201972806226625,0.0,0.0538978409319562,0.0,0.0
26.0,1.0,0.2386844028145856,0.0,0.24220722805747588,8.196928867910437e-5,0.7551768570216039,0.0,0.0025339456322412087,0.0
61.0,1.0,0.11580900770751801,0.0,0.0,0.24323478697933018,6.0347530391419455e-96,0.7567652130206698,7.275905234595604e-96,0.0
76.0,1.0,0.07874682008822893,0.0,0.0,0.001412090787759181,0.4498941142268797,0.0,0.5486937949853612,4.5565095026555036e-63
101.0,1.0,0.07691377435943576,0.0,0.0,0.0,0.46160357948394964,0.0,0.0,0.5383964205160503
1.0,3.0,0.1791582970613725,0.7997263465267103,0.0,0.19993024818364724,3.386416921479024e-7,0.0003426625327640745,4.0411518640036474e-7,0.0
6.0,3.0,0.28855601529752384,2.614227997139929e-10,0.9901235663469558,3.814896431337642e-9,0.009870545151868575,1.029343455668419e-12,5.884347557847435e-6,7.626924657060206e-11
11.0,3.0,0.17530517542354843,0.45436414084643656,3.297108927447772e-5,0.4595489918331868,0.000195285138239291,0.08576163732099124,9.697101244008476e-5,2.7594314241353625e-9
26.0,3.0,0.23610482916467992,1.759179503788453e-5,0.560931148435031,0.00019164291790734885,0.4357193962933158,1.0713523343815823e-7,0.0031396185921180263,4.948313564740183e-7
61.0,3.0,0.07390311392497458,3.030737525249331e-101,0.00046293827297875866,0.5642179799894333,0.0027419465545196974,0.4312155523096388,0.0013615441289883097,3.874444084203756e-8
76.0,3.0,0.024698051840275535,2.2608672875772436e-67,0.2314983176312571,0.003247119455654888,0.5979663776879991,1.838175165035196e-6,0.16718955951055597,9.678753936803016e-5
101.0,3.0,0.022274517287625202,1.843068283729218e-136,0.23684316530716956,2.4177011296274015e-7,0.606239914685125,7.257019197569052e-139,0.0010923811750820922,0.15582429706251041
1.0,5.0,0.17288784060459333,0.6903810202443814,1.7628572103080382e-7,0.3090197252936752,4.627828533290239e-7,0.0005984846828731493,1.3062644617558424e-7,8.404997849560056e-11
6.0,5.0,0.385665042182474,6.79269714148754e-10,0.9865655304619103,6.420750974518261e-9,0.013422214677676233,4.853874104336246e-12,1.224770472002702e-5,5.0818663920959277e-11
11.0,5.0,0.2092582996818597,0.5198096283812979,0.00011885851614605532,0.4033705166474579,0.00017585583451749687,0.07649536360505792,2.9752806779823774e-5,2.4208742808514596e-8
26.0,5.0,0.17127823856653102,2.3980747653795422e-5,0.7416234689813083,0.00025752513496825753,0.25578086726740257,2.5710568780871225e-7,0.002313738218418688,1.6254456063552776e-7
61.0,5.0,0.04638053046493413,3.847997263752403e-8,0.001668860369228657,0.74787859503511,0.002469142516991852,0.2475652737868196,0.00041774990340480667,3.399084722804844e-7
76.0,5.0,0.008034434024541367,8.770653097970424e-8,0.4808761592132029,0.004281148782226509,0.46275710437009554,4.333749713132507e-6,0.05205249530968524,2.86708685457935e-5
101.0,5.0,0.00649561447506654,1.2799304686527392e-7,0.4888022414498004,5.804588286133204e-7,0.4643420225161802,3.195334467106264e-10,0.0014149236023348198,0.04544010366027562
1.0,10.0,0.1323572184280077,0.47791281520131146,5.599814474959216e-7,0.5210254408120948,1.9784081925432115e-7,0.0010609764679958365,9.686965328667246e-9,9.365888794552094e-12
6.0,10.0,0.5092395004171241,7.903036910087985e-10,0.9825119373366737,9.287758297759473e-9,0.01746690923342566,1.4519790360173492e-11,2.1143277927915217e-5,5.939071914640564e-11
11.0,10.0,0.28248810560925924,0.4485648172798804,0.0002540667502997895,0.5182416128712247,6.684795904498902e-5,0.032869793428921774,2.859289549430357e-6,2.4210786613865358e-9
26.0,10.0,0.0610546645497035,2.254923484330031e-5,0.9217791879243744,0.00032963109769738766,0.07711876707189698,5.551077265725457e-7,0.0007492932756994786,1.6287761842764384e-8
61.0,10.0,0.013838226044307459,5.228327979373295e-8,0.0035672808223673673,0.932526633693876,0.0009385930414391528,0.06292725972743692,4.014643796515341e-5,3.3993635212043905e-8
76.0,10.0,0.0007237460893170282,1.1972946699539778e-7,0.8247133646238818,0.005292426428231773,0.1664638441246017,8.996129831817613e-6,0.0035198212000112092,1.4277639749612618e-6
101.0,10.0,0.00029853886228097855,1.7447696841508646e-7,0.8318501054808235,9.850739317523744e-7,0.16532749257669677,1.4337194838247509e-9,0.000732949457100682,0.002088291500759564
1.0,30.0,0.031323835986138485,0.1096775606815176,7.465352829221459e-7,0.8884313264175353,1.6371933505022654e-8,0.0018903460749936953,3.918314348009928e-9,4.2175331322072926e-13
6.0,30.0,0.5598457484200298,2.0374316851880624e-10,0.9807461293458211,1.0785510387950123e-8,0.019227289392978405,2.3049116498669995e-11,2.6570150737640443e-5,9.816065389369481e-11
11.0,30.0,0.3964139960350191,0.10958360553019168,0.00031513618661540703,0.8876996510518824,6.765815527957883e-6,0.002393182289145791,1.6589487889713012e-6,1.7784706496093005e-10
26.0,30.0,0.011337661309844576,5.594300273216781e-6,0.9799820401497018,0.00036830519194664465,0.019461437236309505,7.880111850523582e-7,0.000181834735629163,3.7495540699087553e-10
61.0,30.0,0.0009942414248233448,1.375366010891851e-8,0.004424739198131258,0.992793589011759,9.499692220588115e-5,0.0026633657803045636,2.3292836836621913e-5,2.497100971358993e-9
