s,t,pr_s1,q1,q2,q3,q4,q5,q6,q7
1.0,1.0,0.09707223961320975,0.6795056772924682,0.20950325781876653,0.10065845437023721,0.010332610518527973,0.0,0.0,0.0
2.0,1.0,0.16607168296819758,0.0,0.9529985229586164,0.0,0.047001477041383584,0.0,0.0,0.0
3.0,1.0,0.1401935829632696,0.0,0.0,0.8806966263726499,0.04983575137999969,0.06726098696404854,0.002206635283301886,0.0
4.0,1.0,0.1521098724371413,0.0,0.0,0.0,0.9575992681200779,0.0,0.04240073187992214,0.0
7.0,1.0,0.15246585528057838,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.0,1.0,0.1492296238804606,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,0.04482096770048539,0.3137467739033977,0.4248039698736926,0.15978047323556105,0.08305022145011892,0.014604008503327558,0.004014553033902001,0.0
2.0,3.0,0.18461380649978568,0.0,0.867492675624807,0.0,0.12671851024457242,0.0,0.005788814130620549,0.0
3.0,3.0,0.12041030816052657,0.0,0.0,0.6830916838881249,0.12638233676269678,0.17866691838388082,0.011859060965297456,0.0
4.0,3.0,0.17346658714831134,0.0,0.0,0.0,0.8781150415807913,0.0,0.12188495841920877,0.0
7.0,3.0,0.1704672752696012,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.0,3.0,0.16336391236414696,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,3.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,5.0,0.020695094226862543,0.1448656595880378,0.4984969349183023,0.14647834496423778,0.16153092569954625,0.03379224859992405,0.014835886229951623,0.0
2.0,5.0,0.1843460775345938,0.0,0.7919256078238545,0.0,0.19007999509269666,0.0,0.017994397083448833,0.0
3.0,5.0,0.09661462707197288,0.0,0.0,0.5298240445395723,0.17847212342913893,0.2650763163648125,0.026627515666476143,0.0
4.0,5.0,0.1907587627890041,0.0,0.0,0.0,0.8052282953016467,0.0,0.19477170469835342,0.0
7.0,5.0,0.1855526521378195,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.0,5.0,0.1791756433826043,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,5.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,10.0,0.0029980084754110342,0.02098605932787724,0.483494092488484,0.078463305300456,0.2820322641138113,0.07072058724467235,0.06430369152469875,0.0
2.0,10.0,0.16016595923805868,0.0,0.6376676221779268,0.0,0.29393861373403635,0.0,0.06839376408803671,0.0
3.0,10.0,0.0513109747818181,0.0,0.0,0.2807135181722707,0.23826962598050277,0.40552012241286867,0.0754967334343577,0.0
4.0,10.0,0.20894758734039234,0.0,0.0,0.0,0.648392607554396,0.0,0.3516073924456043,0.0
7.0,10.0,0.21089152995107727,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.0,10.0,0.22282879735609962,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,10.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,30.0,1.3203669616628139e-6,9.242568731639697e-6,0.24870090258764257,0.005563992534590262,0.30083748653651143,0.1086378088807374,0.33625056689178634,0.0
2.0,30.0,0.07823809182243484,0.0,0.29896574016940136,0.0,0.3395328957690694,0.0,0.36150136406152916,0.0
3.0,30.0,0.003954891431834184,0.0,0.0,0.02212024748824903,0.16231537436226215,0.5513101204626915,0.2642542576867973,0.0
4.0,30.0,0.15361120297506112,0.0,0.0,0.0,0.2725926641575849,0.0,0.7274073358424157,0.0
7.0,30.0,0.23713541847763267,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.0,30.0,0.38420193206893266,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,30.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,100.0,2.367069027504154e-18,1.6569483192529077e-17,0.02597628068883082,7.628038076582628e-7,0.05591908855753421,0.1117699534092318,0.8063339145405952,0.0
2.0,100.0,0.008052568228628276,0.0,0.03039169691156711,0.0,0.06531454689511848,0.0,0.9042937561933144,0.0
3.0,100.0,5.430174467986008e-7,0.0,0.0,3.0383183199319428e-6,0.0085090253447441,0.5637793849304877,0.4277085514064483,0.0
4.0,100.0,0.020410880411559643,0.0,0.0,0.0,0.013133502083520715,0.0,0.9868664979164801,0.0
7.0,100.0,0.2393641911913885,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.0,100.0,0.589314674293834,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,100.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0
