s,t,pr_s1,q1,q2,q3,q4,q5,q6,q7
1.0,1.0,0.14888421663434787,0.8646656718318031,0.07711477569507819,0.05789376956544389,0.0003257829076749355,0.0,0.0,0.0
6.0,1.0,0.19521818656144635,0.0,0.9957929960445119,0.0,0.00420700395548809,0.0,0.0,0.0
11.0,1.0,0.11016333239474392,0.1761745113787464,0.0539314326050173,0.5646687325221696,0.1692396186572999,0.035461499266720986,0.0005242055700457673,0.0
26.0,1.0,0.28768947612254675,0.0013493332298856494,0.23968810158551707,0.00010780014299231404,0.7562016316191617,0.0,0.002653133422443442,0.0
61.0,1.0,0.07088128511676199,0.0,0.0,0.1467889985939777,0.17666656614495618,0.460707496550613,0.21583693871045317,0.0
76.0,1.0,0.10986079705090533,0.0,0.0,0.001684025938623812,0.44709238332883466,0.0,0.550011301653395,0.0012122890791466607
101.0,1.0,0.0773027061192478,0.0,0.0,0.0,0.460093346244412,0.0,0.0,0.539906653755588
1.0,3.0,0.13761510561901574,0.6519659025864416,0.2069729166643198,0.11689468587401655,0.02392887731367045,0.00020514454403607656,3.2472589000517627e-5,4.2851519818560813e-10
6.0,3.0,0.3606274495119673,6.450820385774496e-8,0.9898820130286022,9.145409720590013e-9,0.01011061048145236,1.6032024246941212e-12,7.302249113069961e-6,5.856154931621222e-10
11.0,3.0,0.08995342221358314,0.3088603623052787,0.1869588774828308,0.2934866871476951,0.16036416774895978,0.042087296555156715,0.008242415099625209,1.936604537663931e-7
26.0,3.0,0.31508428755963525,0.0024724202480066425,0.5557162361523011,0.0005138486217372486,0.4377260177625017,2.338512012742523e-7,0.003536111910467676,3.513145378454652e-5
61.0,3.0,0.029859579977440914,1.5888798248303255e-6,0.11968889435478557,0.21605255192362507,0.37049407457936195,0.16672253001468298,0.12700581551005005,3.454473766980116e-5
76.0,3.0,0.04416702112930271,2.2746090256710875e-6,0.2298234350104261,0.0027259287661490304,0.5974823905845164,1.8548754061502075e-6,0.16918207603885074,0.0007820401156262104
101.0,3.0,0.0226931339890551,3.1261963289783383e-6,0.23534977389050526,2.4401644932480656e-7,0.6054838744469843,6.245583828089781e-145,0.0011629545080117014,0.15800002694172066
1.0,5.0,0.11472827450591301,0.49161839349008885,0.32031690735867174,0.13476252763023644,0.05291309394733842,0.0002920387432774192,9.70381706885278e-5,6.596988869034922e-10
6.0,5.0,0.5185369317895876,8.35434058642622e-8,0.9862346948106487,2.1439020308253296e-8,0.013749892090827444,1.491390719133655e-11,1.5306687036394744e-5,1.4141469460524888e-9
11.0,5.0,0.07252507900072831,0.3088986510962101,0.31920874104443464,0.18782911234159994,0.14621515695711865,0.028127789813672734,0.009720374569541878,1.7417742199595566e-7
