s,t,pr_s1,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
1.0,1.0,0.04171084794516477,0.45881932739681247,0.12630443827102367,0.0,0.3340485382259371,0.0808276961062267,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.0,0.05104377021334917,0.0,0.4351770340758171,0.22793506893278512,0.0,0.278800563748472,0.058087333242925705,0.0,0.0,0.0,0.0,0.0
11.0,1.0,0.09316852126928934,0.0,0.0,0.7969186650293977,0.0,0.0,0.20308133497060232,0.0,0.0,0.0,0.0,0.0
16.0,1.0,0.08522080458522704,0.0,0.0,0.0,0.6033803122115603,0.16393196375171942,0.0,0.18383951265942605,0.04884821137729435,0.0,0.0,0.0
36.0,1.0,0.11763209659416675,0.0,0.0,0.0,0.0,0.7703928389294161,0.0,0.0,0.22960716107058393,0.0,0.0,0.0
66.0,1.0,0.10215301494089755,0.0,0.0,0.0,0.0,0.0,0.8625144961363449,0.0,0.0,0.0,0.1374855038636551,0.0
96.0,1.0,0.10762177387812964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111.0,1.0,0.11622321567707986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
136.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151.0,1.0,0.1034077730785141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,0.008743689508086157,0.09618058458894774,0.07510094602772394,0.04903754599050836,0.2836546883048967,0.25581007409788353,0.018909568347575827,0.12439033563811697,0.09588390199855722,0.0,0.001032355005789728,0.0
6.0,3.0,0.014214474978799935,0.0,0.08125827873907535,0.26769762349945514,0.0,0.31256150658008036,0.17341373125873938,0.0,0.13998031346182038,0.0,0.025088546460829315,0.0
11.0,3.0,0.0747468880805273,0.0,0.0,0.5054805993958367,0.0,0.0,0.4192864123529494,0.0,0.0,0.0,0.07523298825121387,0.0
16.0,3.0,0.045702702162992985,0.0,0.0,0.0,0.21907503548802615,0.2325152334460023,0.0,0.3623242125873265,0.18608551847864513,0.0,0.0,0.0
36.0,3.0,0.11424096572377068,0.0,0.0,0.0,0.0,0.45576380883751155,0.0,0.0,0.5442361911624886,0.0,0.0,0.0
66.0,3.0,0.11356659247891777,0.0,0.0,0.0,0.0,0.0,0.6376228053088311,0.0,0.0,0.0,0.3623771946911688,0.0
96.0,3.0,0.13515586802049487,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111.0,3.0,0.1787441750092283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
136.0,3.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151.0,3.0,0.13306646221900018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,3.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,5.0,0.0018289838098138173,0.02011882190795199,0.024699016102591682,0.05515364662110253,0.13657901283880045,0.26174117129940094,0.04050264980977603,0.21245891978119308,0.24077248375576843,0.0,0.007974277883414788,0.0
6.0,5.0,0.003618498183833155,0.0,0.015104463919573024,0.19274562668232498,0.0,0.21358119598942749,0.22860516194550676,0.0,0.2714030437424768,0.0,0.07856050772069087,0.0
11.0,5.0,0.05167103294957822,0.0,0.0,0.320482089141933,0.0,0.0,0.48067167219179446,0.0,0.0,0.0,0.1988462386662724,0.0
16.0,5.0,0.01963524325188912,0.0,0.0,0.0,0.07940866293197987,0.1865563921458553,0.0,0.4272454851132246,0.30678945980894035,0.0,0.0,0.0
36.0,5.0,0.08465095274019996,0.0,0.0,0.0,0.0,0.26928172070751577,0.0,0.0,0.7307182792924843,0.0,0.0,0.0
66.0,5.0,0.11088156543345823,0.0,0.0,0.0,0.0,0.0,0.46991773582096347,0.0,0.0,0.0,0.5300822641790363,0.0
96.0,5.0,0.14906403680858343,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0
111.0,5.0,0.23178938787269726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
136.0,5.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151.0,5.0,0.16504211713176498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,5.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
1.0,10.0,3.653392648579459e-5,0.00040187319134374046,0.0008584601044779565,0.02351472398926638,0.013405420420723974,0.10861720812096497,0.05201308324073527,0.2738618372527719,0.4847566106526462,0.0,0.04257078302706957,0.0
6.0,10.0,9.846592675986942e-5,0.0,0.00022466508988060714,0.06459620707981849,0.0,0.06176910630845938,0.20350534960024524,0.0,0.4305125917461109,0.0,0.2393920801754853,0.0
11.0,10.0,0.01733382246972173,0.0,0.0,0.10256111609785414,0.0,0.0,0.37987282614125756,0.0,0.0,0.0,0.5175660577608883,0.0
16.0,10.0,0.0017878744927530056,0.0,0.0,0.0,0.0062611989995590865,0.06479995345810624,0.0,0.46122073026273264,0.46771811727960216,0.0,0.0,0.0
36.0,10.0,0.027945307153077015,0.0,0.0,0.0,0.0,0.07221211079631662,0.0,0.0,0.9277878892036833,0.0,0.0,0.0
