s,t,pr_s1,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
1.0,1.0,0.06075396581986134,0.6682936240184747,0.24329311570398698,0.0,0.0817063759815253,0.006706884296013046,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.0,0.10974623815588548,0.0,0.8658000284640874,0.1079259767972884,0.0,0.023868480998360045,0.0024055137402641882,0.0,0.0,0.0,0.0,0.0
11.0,1.0,0.1152741454080015,0.0,0.0,0.978197396243555,0.0,0.0,0.02180260375644512,0.0,0.0,0.0,0.0,0.0
16.0,1.0,0.05004149056839127,0.0,0.047252667382396,0.0,0.4687500202707788,0.4214973586876336,0.0,0.031249979729221236,0.031249973929970393,0.0,0.0,0.0
36.0,1.0,0.0790872674482797,0.0,0.05086280816426969,0.0606307402245258,0.0,0.4178872179490699,0.4230140388015302,0.0,0.031249973886660388,0.0,0.016355220973944016,0.0
66.0,1.0,0.11756820356038192,0.0,0.0,0.12126148622264754,0.0,0.0,0.8460280828659615,0.0,0.0,0.0,0.03271043091139099,0.0
96.0,1.0,0.09374999815720192,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111.0,1.0,0.09659090434696643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
136.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151.0,1.0,0.09536960471684863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,0.0269993365054278,0.2969927015597058,0.4411829552790999,0.06999104689695071,0.08163029728805848,0.07262545653319061,0.02479056640907889,0.00509097026422565,0.0066739513243604396,0.0,0.0010220544453296279,0.0
6.0,3.0,0.11400917908839281,0.0,0.6514937864859852,0.2812419122942809,0.0,0.0309598247376859,0.033219892191801506,0.0,0.001574209983392624,0.0,0.0015103743068539616,0.0
11.0,3.0,0.1725617259123229,0.0,0.0,0.9434300729211241,0.0,0.0,0.05456180232585642,0.0,0.0,0.0,0.0020081247530196068,0.0
16.0,3.0,0.016784285160641312,0.0,0.09600464842272766,0.07892352133037465,0.10299683947899597,0.25642223801899555,0.31547171669471646,0.052764859654857096,0.0777560706124537,0.0,0.019660105786879014,0.0
36.0,3.0,0.03955416604820839,0.0,0.06541957978450806,0.22102568429650582,0.0,0.07508830724042025,0.5313223748152925,0.0,0.049802035673924286,0.0,0.057342018189349024,0.0
66.0,3.0,0.1429140556357319,0.0,0.0,0.3035667472963158,0.0,0.0,0.6126882595563052,0.0,0.0,0.0,0.08374499314737911,0.0
96.0,3.0,0.0961687118108257,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111.0,3.0,0.1032551152358301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
136.0,3.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151.0,3.0,0.10593524278443729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
176.0,3.0,0.09090909090909088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998
1.0,5.0,0.011909909238481425,0.13100900162329568,0.4529757914013642,0.18106499429714,0.047069124357715916,0.07344448010833243,0.08364131148443928,0.009313779483369896,0.015274100173866472,0.0,0.006207417070476391,0.0
6.0,5.0,0.09918528073469353,0.0,0.49103538249709106,0.41233897822323057,0.0,0.0256485125737486,0.06252762688404803,0.0,0.003289875067229498,0.0,0.0051596247546525495,0.0
11.0,5.0,0.22603109609460867,0.0,0.0,0.9173222152702322,0.0,0.0,0.07671714502102642,0.0,0.0,0.0,0.005960639708741623,0.0
16.0,5.0,0.006336387979959447,0.0,0.09304195283145664,0.19545186262128939,0.02263114342183801,0.08988297992639174,0.3955822981836174,0.05749225068670147,0.09535308131804829,0.0,0.05056443101065705,0.0
36.0,5.0,0.018565626970935185,0.0,0.053984961351716966,0.3532910763661133,0.0,0.015245924071814286,0.4320219424419443,0.0,0.053167740938681284,0.0,0.09228835482973001,0.0
